matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Elite Fire Lancer,5v10,5,10,68.94117647058823,65.29411764705883,72.94117647058823,73.52941176470588,73.52941176470588,73.52941176470588,4.588235294117652,4.588235294117652,0.5882352941176521,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,10v5,10,5,-87.2,-87.75,-85,-80.5,-80.5,-80.5,6.700000000000003,6.700000000000003,4.5,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,15v20,15,20,31.705882352941178,24.41176470588235,40,44.705882352941174,44.705882352941174,44.705882352941174,12.999999999999996,12.999999999999996,4.705882352941174,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,20v15,20,15,-77.025,-81.125,-71.625,-60.875,-60.875,-60.875,16.150000000000006,16.150000000000006,10.75,0,0,0,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Arbalester vs Elite Fire Lancer,20v20,20,20,-50.175,-58.5,-41.875,,,,,,,0,0,5,aoe2_golden_kiting_arbalestervsfirelancer_2026-08-06.zip,2993135C74E069273CFE689C398C0316DD02F29D01E95D20FB3F1D86C3B42D38
Elite Skirmisher vs Elite Battle Elephant,5v10,5,10,99.20625,99.09375,99.28125,99.09375,99.09375,99.09375,-0.11249999999999716,0.11249999999999716,0,1,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,10v5,10,5,94.8875,93.4375,96.4375,94.25,94.25,94.25,-0.6375000000000028,0.6375000000000028,0,1,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,15v20,15,20,99.09375,98.9375,99.25,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,20v15,20,15,97.1,96.35416666666667,97.75,95.89583333333333,95.89583333333333,95.89583333333333,-1.2041666666666657,1.2041666666666657,0.4583333333333428,0,0,0,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
Elite Skirmisher vs Elite Battle Elephant,20v20,20,20,98.48125,98.1875,98.65625,,,,,,,0,0,5,aoe2_golden_kiting_eliteskirmvselephant_2026-08-06.zip,12984A63F05BDCFB3242C46CD45144D2E6B8D304C7AF15C951CBB41652095EB6
