matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Arbalester vs Elite Steppe Lancer,10v5,10,5,-49.2,-59,-38,-21,-21,-21,28.200000000000003,28.200000000000003,17,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,15v20,15,20,71.84,68.8,78.4,82,82,82,10.159999999999997,10.159999999999997,3.5999999999999943,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,20v15,20,15,25.44,17.6,32.8,48.53333333333333,48.53333333333333,48.53333333333333,23.09333333333333,23.09333333333333,15.733333333333334,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,20v20,20,20,51.88000000000001,47.4,56.2,72.4,72.4,72.4,20.519999999999996,20.519999999999996,16.200000000000003,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Arbalester vs Elite Steppe Lancer,5v10,5,10,83.28,82,84,91.6,91.6,91.6,8.319999999999993,8.319999999999993,7.599999999999994,0,0,0,aoe2_golden_kiting_arbalestervssteppe_2026-08-06.zip,3F4D8F0B69AE82A874E28FD1A9B801C9B0DFB4F46A17B4692F4457ADB2CB9C34
Heavy Cav Archer vs Elite Steppe Lancer,10v5,10,5,-86.25,-92.5,-80,-61.25,-61.25,-61.25,25,25,18.75,0,0,0,aoe2_golden_kiting_hcavarchervssteppe_2026-08-06.zip,74D83F2EBE0D7EE89AD76C50D68147D4D0B085FA0223B1CECB59FF83198C9373
Heavy Cav Archer vs Elite Steppe Lancer,15v20,15,20,59.2,54.5,63.25,49.25,49.25,49.25,-9.950000000000003,9.950000000000003,5.25,0,0,0,aoe2_golden_kiting_hcavarchervssteppe_2026-08-06.zip,74D83F2EBE0D7EE89AD76C50D68147D4D0B085FA0223B1CECB59FF83198C9373
Heavy Cav Archer vs Elite Steppe Lancer,20v15,20,15,-26.5,-32.5,-21.875,-29.375,-29.375,-29.375,-2.875,2.875,0,1,0,0,aoe2_golden_kiting_hcavarchervssteppe_2026-08-06.zip,74D83F2EBE0D7EE89AD76C50D68147D4D0B085FA0223B1CECB59FF83198C9373
Heavy Cav Archer vs Elite Steppe Lancer,20v20,20,20,29.6,23.5,40,33.75,33.75,33.75,4.149999999999999,4.149999999999999,0,1,0,0,aoe2_golden_kiting_hcavarchervssteppe_2026-08-06.zip,74D83F2EBE0D7EE89AD76C50D68147D4D0B085FA0223B1CECB59FF83198C9373
Heavy Cav Archer vs Elite Steppe Lancer,5v10,5,10,80.2,75,88,84,84,84,3.799999999999997,3.799999999999997,0,1,0,0,aoe2_golden_kiting_hcavarchervssteppe_2026-08-06.zip,74D83F2EBE0D7EE89AD76C50D68147D4D0B085FA0223B1CECB59FF83198C9373
Elite Skirmisher vs Elite Steppe Lancer,10v5,10,5,89.88,89.6,90.4,91.2,91.2,91.2,1.3200000000000074,1.3200000000000074,0.7999999999999972,0,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,15v20,15,20,97.91,97.45,98.3,97.85,97.85,97.85,-0.060000000000002274,0.060000000000002274,0,1,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v15,20,15,93.37333333333333,91.86666666666666,94.4,94.26666666666667,94.26666666666667,94.26666666666667,0.8933333333333309,0.8933333333333309,0,1,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,20v20,20,20,96.97,96.45,97.65,96.65,96.65,96.65,-0.3199999999999932,0.3199999999999932,0,1,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
Elite Skirmisher vs Elite Steppe Lancer,5v10,5,10,98.16,98.1,98.3,98.3,98.3,98.3,0.14000000000000057,0.14000000000000057,0,1,0,0,aoe2_golden_kiting_eliteskirmvssteppe_2026-08-06.zip,9500E4703ACB48273C83D71CE4313820BA92391EE80CAF2882F92AF12B46414B
