matchup,ratio,ranged_count,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,wrong_winner_runs,unresolved_runs,archive,zip_sha256
Hand Cannoneer vs Champion,10v5,10,5,-100,-100,-100,-100,-100,-100,0,0,0,1,0,0,aoe2_golden_kiting_hcvschampion_2026-08-14.zip,468AB6CDBAD27FAEED9690E47A6B8BE4865A555DDD1063CFDE8B2A2D8D5C3A99
Hand Cannoneer vs Champion,15v20,15,20,-89.8,-93,-81.66666666666667,-93,-93,-93,-3.200000000000003,3.200000000000003,0,1,0,0,aoe2_golden_kiting_hcvschampion_2026-08-14.zip,468AB6CDBAD27FAEED9690E47A6B8BE4865A555DDD1063CFDE8B2A2D8D5C3A99
Hand Cannoneer vs Champion,20v15,20,15,-98.6,-100,-96.5,-98.25,-98.25,-98.25,0.3499999999999943,0.3499999999999943,0,1,0,0,aoe2_golden_kiting_hcvschampion_2026-08-14.zip,468AB6CDBAD27FAEED9690E47A6B8BE4865A555DDD1063CFDE8B2A2D8D5C3A99
Hand Cannoneer vs Champion,20v20,20,20,-98.95,-100,-98.25,-96.5,-96.5,-96.5,2.450000000000003,2.450000000000003,1.75,0,0,0,aoe2_golden_kiting_hcvschampion_2026-08-14.zip,468AB6CDBAD27FAEED9690E47A6B8BE4865A555DDD1063CFDE8B2A2D8D5C3A99
Hand Cannoneer vs Champion,5v10,5,10,-39.2,-59,-12,-59,-59,-59,-19.799999999999997,19.799999999999997,0,1,0,0,aoe2_golden_kiting_hcvschampion_2026-08-14.zip,468AB6CDBAD27FAEED9690E47A6B8BE4865A555DDD1063CFDE8B2A2D8D5C3A99
Hand Cannoneer vs Paladin,10v5,10,5,12.666666666666668,5,17.22222222222222,13.88888888888889,13.88888888888889,13.88888888888889,1.2222222222222214,1.2222222222222214,0,1,0,0,aoe2_golden_kiting_hcvspaladin_2026-08-14.zip,F472C648A06913B6E0DDAD1A7E2E9DAD17E70A7F62F113C5C2CD6A6F9AEC50F2
Hand Cannoneer vs Paladin,15v20,15,20,73.11111111111111,70.97222222222223,76.38888888888889,74.72222222222223,74.72222222222223,74.72222222222223,1.6111111111111143,1.6111111111111143,0,1,0,0,aoe2_golden_kiting_hcvspaladin_2026-08-14.zip,F472C648A06913B6E0DDAD1A7E2E9DAD17E70A7F62F113C5C2CD6A6F9AEC50F2
Hand Cannoneer vs Paladin,20v15,20,15,30.518518518518523,23.51851851851852,39.25925925925926,30.185185185185183,30.185185185185187,30.185185185185187,-0.33333333333333925,0.33333333333333925,0,1,0,0,aoe2_golden_kiting_hcvspaladin_2026-08-14.zip,F472C648A06913B6E0DDAD1A7E2E9DAD17E70A7F62F113C5C2CD6A6F9AEC50F2
Hand Cannoneer vs Paladin,20v20,20,20,49.25,43.333333333333336,59.44444444444444,56.25,56.25,56.25,7,7,0,1,0,0,aoe2_golden_kiting_hcvspaladin_2026-08-14.zip,F472C648A06913B6E0DDAD1A7E2E9DAD17E70A7F62F113C5C2CD6A6F9AEC50F2
Hand Cannoneer vs Paladin,5v10,5,10,87.55555555555556,86.66666666666667,88.05555555555556,88.33333333333333,88.33333333333333,88.33333333333333,0.7777777777777715,0.7777777777777715,0.27777777777777146,0,0,0,aoe2_golden_kiting_hcvspaladin_2026-08-14.zip,F472C648A06913B6E0DDAD1A7E2E9DAD17E70A7F62F113C5C2CD6A6F9AEC50F2
