subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,tape_classification,wrong_stable_winner,unresolved_runs
elite_boyar,arbalester,Arbalester vs Elite Boyar,21,11,1,25.636363636363637,25.636363636363637,25.636363636363637,5,54.18181818181817,54.18181818181818,54.18181818181818,28.545454545454536,28.545454545454536,stable,false,0
elite_boyar,champion,Elite Boyar vs Champion,10,21,1,-51.06666666666667,-51.06666666666667,-51.06666666666667,5,-49.45333333333333,-52.2,-44.53333333333333,1.6133333333333368,1.6133333333333368,stable,false,0
elite_boyar,elite_elephant,Elite Boyar vs Elite Battle Elephant,18,14,4,-3.4166997354497357,-21.25925925925926,7.857142857142857,15,9.580864197530865,-16.462962962962962,30.267857142857142,12.9975639329806,1.7237213403880078,knife-edge,false,0
elite_boyar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Boyar,21,16,1,10.5,10.5,10.5,5,6.811904761904762,-9.642857142857142,16.75,3.6880952380952383,3.6880952380952383,stable,false,0
elite_boyar,heavy_scorpion,Heavy Scorpion vs Elite Boyar,15,18,1,77.70370370370371,77.70370370370371,77.70370370370371,5,66.66666666666666,60.888888888888886,69.33333333333333,11.037037037037052,11.037037037037052,stable,false,0
elite_boyar,paladin,Elite Boyar vs Paladin,18,17,1,-53.148148148148145,-53.148148148148145,-53.148148148148145,5,-46.36296296296296,-53.25925925925926,-38.96296296296296,6.785185185185185,6.785185185185185,stable,false,0
elite_conquistador,arbalester,Elite Conquistador vs Arbalester,12,21,4,-31.89814814814815,-36.111111111111114,-27.59259259259259,5,-10.62962962962963,-17.40740740740741,-4.074074074074074,21.26851851851852,16.962962962962962,stable,false,0
elite_conquistador,champion,Elite Conquistador vs Champion,10,21,1,-78.44444444444444,-78.44444444444444,-78.44444444444444,5,36.19047619047619,36.19047619047619,36.19047619047619,114.63492063492063,114.63492063492063,stable,true,0
elite_conquistador,elite_elephant,Elite Conquistador vs Elite Battle Elephant,18,14,4,-52.64969135802469,-64.80246913580247,-43.71604938271605,0,,,,,,stable,true,5
elite_conquistador,heavy_cav_archer,Heavy Cavalry Archer vs Elite Conquistador,21,17,4,-6.389618347338937,-14.523809523809524,12.745098039215685,15,-2.365818549642079,-22.113095238095237,18.954248366013072,4.023799797696858,0,knife-edge,false,0
elite_conquistador,heavy_scorpion,Elite Conquistador vs Heavy Scorpion,18,15,4,-18.88888888888889,-30.27777777777778,-12.777777777777779,5,-23.27777777777778,-25.833333333333332,-21.11111111111111,4.388888888888889,0,stable,false,0
elite_conquistador,paladin,Elite Conquistador vs Paladin,18,16,1,-75.12345679012346,-75.12345679012346,-75.12345679012346,5,-34.629629629629626,-34.629629629629626,-34.629629629629626,40.49382716049383,40.49382716049383,stable,false,0
elite_gbeto,arbalester,Elite Gbeto vs Arbalester,17,21,4,39.404761904761905,34.76190476190476,46.666666666666664,5,58.85714285714287,48.095238095238095,64.28571428571429,19.452380952380963,12.190476190476204,stable,false,0
elite_gbeto,champion,Elite Gbeto vs Champion,15,21,1,-91.33333333333333,-91.33333333333333,-91.33333333333333,5,-85.33333333333333,-85.33333333333333,-85.33333333333333,6,6,stable,false,0
elite_gbeto,elite_elephant,Elite Gbeto vs Elite Battle Elephant,21,11,4,-42.08095238095238,-53.095238095238095,-32.49523809523809,5,-58.80952380952381,-58.80952380952381,-58.80952380952381,16.728571428571428,5.714285714285715,stable,false,0
elite_gbeto,heavy_cav_archer,Heavy Cavalry Archer vs Elite Gbeto,17,21,4,33.92857142857143,28.095238095238095,38.95238095238095,5,9.008683473389356,-5.147058823529412,18,24.919887955182077,19.08655462184874,stable,false,0
elite_gbeto,heavy_scorpion,Elite Gbeto vs Heavy Scorpion,21,12,4,7.484126984126984,-8.952380952380953,19.166666666666668,14,46.56746031746031,28.055555555555557,58.333333333333336,39.08333333333333,27.40079365079364,knife-edge,false,1
elite_gbeto,paladin,Elite Gbeto vs Paladin,21,13,1,-55.714285714285715,-55.714285714285715,-55.714285714285715,5,-71.42857142857143,-71.42857142857143,-71.42857142857143,15.714285714285715,15.714285714285715,stable,false,0
elite_genoese_crossbowman,arbalester,Elite Genoese Crossbowman vs Arbalester,18,21,4,30.892857142857142,28.333333333333332,33.095238095238095,5,11.952380952380953,4.761904761904762,18.095238095238095,18.94047619047619,16.38095238095238,stable,false,0
elite_genoese_crossbowman,champion,Elite Genoese Crossbowman vs Champion,16,21,1,-74.25,-74.25,-74.25,5,-91,-91,-91,16.75,16.75,stable,false,0
elite_genoese_crossbowman,elite_elephant,Elite Genoese Crossbowman vs Elite Battle Elephant,21,10,1,-98.38095238095238,-98.38095238095238,-98.38095238095238,5,-100,-100,-100,1.6190476190476204,1.6190476190476204,stable,false,0
elite_genoese_crossbowman,heavy_cav_archer,Elite Genoese Crossbowman vs Heavy Cavalry Archer,21,16,1,-45.333333333333336,-45.333333333333336,-45.333333333333336,5,-79.9047619047619,-82.85714285714286,-77.61904761904762,34.57142857142856,34.57142857142856,stable,false,0
elite_genoese_crossbowman,heavy_scorpion,Elite Genoese Crossbowman vs Heavy Scorpion,21,11,1,45.45454545454545,45.45454545454545,45.45454545454545,5,39.515151515151516,28.484848484848484,45.45454545454545,5.939393939393938,5.939393939393938,stable,false,0
elite_genoese_crossbowman,paladin,Elite Genoese Crossbowman vs Paladin,21,12,1,-86.57142857142857,-86.57142857142857,-86.57142857142857,5,-90.66666666666667,-90.66666666666667,-90.66666666666667,4.095238095238102,4.095238095238102,stable,false,0
elite_huskarl,arbalester,Arbalester vs Elite Huskarl,20,21,1,85.71428571428571,85.71428571428571,85.71428571428571,5,87.07482993197279,87.07482993197279,87.07482993197279,1.3605442176870781,1.3605442176870781,stable,false,0
elite_huskarl,champion,Elite Huskarl vs Champion,18,21,1,51.97278911564626,51.97278911564626,51.97278911564626,5,42.72108843537414,39.183673469387756,48.70748299319728,9.251700680272116,9.251700680272116,stable,false,0
elite_huskarl,elite_elephant,Elite Huskarl vs Elite Battle Elephant,21,9,1,60.416666666666664,60.416666666666664,60.416666666666664,5,66.73611111111111,63.888888888888886,70.13888888888889,6.31944444444445,6.31944444444445,stable,false,0
elite_huskarl,heavy_cav_archer,Heavy Cavalry Archer vs Elite Huskarl,14,21,1,93.12925170068027,93.12925170068027,93.12925170068027,5,90.93877551020408,90.74829931972789,91.0204081632653,2.19047619047619,2.19047619047619,stable,false,0
elite_huskarl,heavy_scorpion,Heavy Scorpion vs Elite Huskarl,10,21,1,76.9047619047619,76.9047619047619,76.9047619047619,5,63.52380952380953,58.333333333333336,70.71428571428571,13.380952380952365,13.380952380952365,stable,false,0
elite_huskarl,paladin,Elite Huskarl vs Paladin,21,11,4,45.68181818181819,27.474747474747474,54.5959595959596,5,47.020202020202014,40.303030303030305,55.707070707070706,1.3383838383838267,0,stable,false,0
elite_janissary,arbalester,Elite Janissary vs Arbalester,13,21,4,39.19642857142857,30.595238095238095,49.166666666666664,5,45.88095238095238,38.57142857142857,49.166666666666664,6.68452380952381,0,stable,false,0
elite_janissary,champion,Elite Janissary vs Champion,11,21,1,-58.54545454545455,-58.54545454545455,-58.54545454545455,5,-21.818181818181817,-21.818181818181817,-21.818181818181817,36.727272727272734,36.727272727272734,stable,false,0
elite_janissary,elite_elephant,Elite Janissary vs Elite Battle Elephant,21,14,1,-59.19047619047619,-59.19047619047619,-59.19047619047619,5,42.310267857142854,42.310267857142854,42.310267857142854,101.50074404761904,101.50074404761904,stable,true,0
elite_janissary,heavy_cav_archer,Elite Janissary vs Heavy Cavalry Archer,19,21,4,31.071428571428573,29.047619047619047,35.23809523809524,5,11.619047619047619,0.9523809523809523,18.095238095238095,19.452380952380956,17.42857142857143,stable,false,0
elite_janissary,heavy_scorpion,Elite Janissary vs Heavy Scorpion,21,15,4,21.444444444444446,4.333333333333333,49.111111111111114,5,55.57777777777778,51.44444444444444,59.666666666666664,34.13333333333334,6.466666666666669,stable,false,0
elite_janissary,paladin,Elite Janissary vs Paladin,21,17,1,-46.857142857142854,-46.857142857142854,-46.857142857142854,5,-40,-40,-40,6.857142857142854,6.857142857142854,stable,false,0
elite_karambit_warrior,arbalester,Arbalester vs Elite Karambit Warrior,10,21,4,7.25,-8.5,17.857142857142858,15,-20.75,-20.75,-20.75,28,12.25,knife-edge,false,0
elite_karambit_warrior,champion,Elite Karambit Warrior vs Champion,21,12,4,23.69047619047619,10.952380952380953,34.285714285714285,5,35.857142857142854,27.142857142857142,41.904761904761905,12.166666666666664,1.5714285714285694,stable,false,0
elite_karambit_warrior,elite_elephant,Elite Karambit Warrior vs Elite Battle Elephant,21,4,4,38.125,33.75,43.125,5,41.34375,36.40625,46.09375,3.21875,0,stable,false,0
elite_karambit_warrior,heavy_cav_archer,Heavy Cavalry Archer vs Elite Karambit Warrior,7,21,4,39.523809523809526,23.333333333333332,51.42857142857143,0,,,,,,stable,true,5
elite_karambit_warrior,heavy_scorpion,Heavy Scorpion vs Elite Karambit Warrior,5,21,1,52.38095238095238,52.38095238095238,52.38095238095238,5,69.0952380952381,64.04761904761905,71.19047619047619,16.714285714285722,16.714285714285722,stable,false,0
elite_karambit_warrior,paladin,Elite Karambit Warrior vs Paladin,21,5,4,-21.964285714285715,-28.333333333333332,-6.190476190476191,5,15.844444444444443,6.777777777777778,22.666666666666668,37.80873015873016,22.034920634920635,stable,true,0
elite_keshik,arbalester,Arbalester vs Elite Keshik,21,16,1,55.11363636363637,55.11363636363637,55.11363636363637,5,71.13636363636364,71.13636363636364,71.13636363636364,16.022727272727273,16.022727272727273,stable,false,0
elite_keshik,champion,Elite Keshik vs Champion,14,21,4,-27.153679653679653,-43.54978354978355,-15.714285714285714,5,5.546072974644403,-13.29004329004329,22.108843537414966,32.699752628324056,21.26035868893012,stable,true,0
elite_keshik,elite_elephant,Elite Keshik vs Elite Battle Elephant,21,12,1,49.21875,49.21875,49.21875,5,46.125,35.46875,54.635416666666664,3.09375,3.09375,stable,false,0
elite_keshik,heavy_cav_archer,Heavy Cavalry Archer vs Elite Keshik,19,21,1,65.54112554112554,65.54112554112554,65.54112554112554,5,61.51803751803751,60.865800865800864,62.97258297258297,4.023088023088029,4.023088023088029,stable,false,0
elite_keshik,heavy_scorpion,Heavy Scorpion vs Elite Keshik,13,21,1,87.18614718614718,87.18614718614718,87.18614718614718,5,73.31601731601731,70.18759018759019,76.68109668109668,13.870129870129873,13.870129870129873,stable,false,0
elite_keshik,paladin,Elite Keshik vs Paladin,21,14,4,-21.883116883116887,-38.23953823953824,-9.754689754689755,5,9.370851370851371,-17.43145743145743,25.396825396825395,31.25396825396826,19.125541125541126,stable,true,0
elite_longbowman,arbalester,Elite Longbowman vs Arbalester,20,21,1,-73.75,-73.75,-73.75,5,-77,-84.375,-73.125,3.25,3.25,stable,false,0
elite_longbowman,champion,Elite Longbowman vs Champion,17,21,1,-83.08823529411765,-83.08823529411765,-83.08823529411765,5,-80.88235294117646,-80.88235294117646,-80.88235294117646,2.205882352941188,2.205882352941188,stable,false,0
elite_longbowman,elite_elephant,Elite Longbowman vs Elite Battle Elephant,21,9,1,54.6875,54.6875,54.6875,5,70.41666666666667,70.41666666666667,70.41666666666667,15.729166666666671,15.729166666666671,stable,false,0
elite_longbowman,heavy_cav_archer,Elite Longbowman vs Heavy Cavalry Archer,21,15,1,-50.714285714285715,-50.714285714285715,-50.714285714285715,5,-74.23809523809523,-79.52380952380952,-71.9047619047619,23.52380952380951,23.52380952380951,stable,false,0
elite_longbowman,heavy_scorpion,Elite Longbowman vs Heavy Scorpion,21,10,4,-10.565476190476192,-19.047619047619047,-3.5714285714285716,5,-33.80952380952381,-39.285714285714285,-29.761904761904763,23.24404761904762,14.761904761904763,stable,false,0
elite_longbowman,paladin,Elite Longbowman vs Paladin,21,11,4,28.080808080808083,23.838383838383837,35.656565656565654,5,27.47474747474747,27.474747474747474,27.474747474747474,0.6060606060606126,0,stable,false,0
elite_magyar_huszar,arbalester,Arbalester vs Elite Magyar Huszar,21,18,4,17.348484848484848,9.696969696969697,26.666666666666668,5,55.15151515151515,55.15151515151515,55.15151515151515,37.8030303030303,28.48484848484848,stable,false,0
elite_magyar_huszar,champion,Elite Magyar Huszar vs Champion,16,21,4,20.196351267779836,-13.636363636363637,33.40136054421769,15,24.063492063492056,16.802721088435373,36.46258503401361,3.8671407957122206,0,knife-edge,false,0
elite_magyar_huszar,elite_elephant,Elite Magyar Huszar vs Elite Battle Elephant,21,10,4,44.6640625,36.25,57.53125,5,55.7875,52.4375,59.21875,11.123437500000001,0,stable,false,0
elite_magyar_huszar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Magyar Huszar,16,21,1,52.38095238095238,52.38095238095238,52.38095238095238,5,59.91341991341991,53.46320346320346,66.66666666666667,7.532467532467528,7.532467532467528,stable,false,0
