subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,tape_classification,wrong_stable_winner,unresolved_runs
elite_boyar,arbalester,Arbalester vs Elite Boyar,21,11,1,25.636363636363637,25.636363636363637,25.636363636363637,4,33,30,34.72727272727273,7.363636363636363,7.363636363636363,stable,false,1
elite_boyar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Boyar,21,16,1,10.5,10.5,10.5,5,28.15,5.75,34.5,17.65,17.65,stable,false,0
elite_karambit_warrior,heavy_cav_archer,Heavy Cavalry Archer vs Elite Karambit Warrior,7,21,4,39.523809523809526,23.333333333333332,51.42857142857143,5,-25.928571428571434,-38.392857142857146,-14.107142857142858,65.45238095238096,49.261904761904766,stable,true,0
elite_karambit_warrior,paladin,Elite Karambit Warrior vs Paladin,21,5,4,-21.964285714285715,-28.333333333333332,-6.190476190476191,5,46.13333333333333,22.666666666666668,62.666666666666664,68.09761904761905,52.32380952380952,stable,true,0
elite_keshik,arbalester,Arbalester vs Elite Keshik,21,16,1,55.11363636363637,55.11363636363637,55.11363636363637,5,63.75,63.75,63.75,8.636363636363633,8.636363636363633,stable,false,0
elite_keshik,heavy_cav_archer,Heavy Cavalry Archer vs Elite Keshik,19,21,1,65.54112554112554,65.54112554112554,65.54112554112554,5,73.13708513708514,72.92929292929293,73.27561327561328,7.595959595959599,7.595959595959599,stable,false,0
elite_longbowman,paladin,Elite Longbowman vs Paladin,21,11,4,28.080808080808083,23.838383838383837,35.656565656565654,5,37.676767676767675,37.676767676767675,37.676767676767675,9.595959595959592,2.0202020202020208,stable,false,0
elite_magyar_huszar,arbalester,Arbalester vs Elite Magyar Huszar,21,18,4,17.348484848484848,9.696969696969697,26.666666666666668,5,43.83838383838384,43.83838383838384,43.83838383838384,26.489898989898993,17.171717171717173,stable,false,0
elite_magyar_huszar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Magyar Huszar,16,21,1,52.38095238095238,52.38095238095238,52.38095238095238,5,54.93506493506494,52.16450216450217,55.62770562770563,2.5541125541125638,2.5541125541125638,stable,false,0
elite_plumed_archer,paladin,Elite Plumed Archer vs Paladin,21,11,4,19.292929292929294,11.717171717171718,25.454545454545453,5,33.6969696969697,32.121212121212125,40,14.404040404040408,8.24242424242425,stable,false,0
elite_rattan_archer,champion,Elite Rattan Archer vs Champion,14,21,1,44.76190476190476,44.76190476190476,44.76190476190476,5,28.027210884353742,28.027210884353742,28.027210884353742,16.734693877551017,16.734693877551017,stable,false,0
elite_rattan_archer,paladin,Elite Rattan Archer vs Paladin,21,14,1,67.3015873015873,67.3015873015873,67.3015873015873,5,66.82539682539682,66.82539682539682,66.82539682539682,0.4761904761904816,0.4761904761904816,stable,false,0
elite_shotel_warrior,heavy_cav_archer,Heavy Cavalry Archer vs Elite Shotel Warrior,15,21,1,65.14285714285714,65.14285714285714,65.14285714285714,5,43.1047619047619,32.666666666666664,52.666666666666664,22.038095238095238,22.038095238095238,stable,false,0
elite_shotel_warrior,paladin,Elite Shotel Warrior vs Paladin,21,11,4,-24.476190476190474,-36,-14.666666666666666,1,30,30,30,54.476190476190474,44.666666666666664,stable,true,4
elite_tarkan,champion,Elite Tarkan vs Champion,11,21,4,31.173469387755098,27.891156462585034,34.42176870748299,4,-20.427807486631018,-26.951871657754012,-16.25668449197861,51.601276874386116,48.318963949216055,stable,true,1
elite_tarkan,heavy_cav_archer,Heavy Cavalry Archer vs Elite Tarkan,21,18,1,56.5359477124183,56.5359477124183,56.5359477124183,5,57.91503267973856,57.48366013071895,59.64052287581699,1.37908496732026,1.37908496732026,stable,false,0
elite_teutonic_knight,elite_elephant,Elite Teutonic Knight vs Elite Battle Elephant,21,13,1,-46.53679653679654,-46.53679653679654,-46.53679653679654,1,45.91346153846154,45.91346153846154,45.91346153846154,92.45025807525808,92.45025807525808,stable,true,4
elite_throwing_axeman,arbalester,Elite Throwing Axeman vs Arbalester,21,21,4,-19.761904761904763,-24.761904761904763,-13.741496598639456,5,2.7176870748299318,-17.82312925170068,15.833333333333334,22.479591836734695,16.459183673469386,stable,true,0
elite_war_wagon,champion,Elite War Wagon vs Champion,8,21,4,20.10204081632653,9.115646258503402,25.4421768707483,5,-31.5625,-31.5625,-31.5625,51.66454081632653,40.6781462585034,stable,true,0
elite_woad_raider,heavy_cav_archer,Heavy Cavalry Archer vs Elite Woad Raider,17,21,4,20.33613445378151,12.380952380952381,29.859943977591037,5,-34.470588235294116,-37.94117647058823,-25.147058823529413,54.80672268907563,46.851540616246496,stable,true,0
warrior_priest,champion,Warrior Priest vs Champion,14,21,4,41.445578231292515,26.122448979591837,52.244897959183675,1,13.061224489795919,13.061224489795919,13.061224489795919,28.384353741496597,13.061224489795919,stable,false,4
