subject,opponent,matchup,side2_count,side3_count,tape_runs,tape_mean,tape_min,tape_max,simulation_runs,simulation_mean,simulation_min,simulation_max,absolute_mean_delta,tape_band_error,tape_classification,wrong_stable_winner,unresolved_runs
elite_boyar,heavy_cav_archer,Heavy Cavalry Archer vs Elite Boyar,21,16,1,10.5,10.5,10.5,1,16.75,16.75,16.75,6.25,6.25,stable,false,0
elite_conquistador,arbalester,Elite Conquistador vs Arbalester,12,21,4,-31.89814814814815,-36.111111111111114,-27.59259259259259,1,49.107142857142854,49.107142857142854,49.107142857142854,81.005291005291,76.69973544973544,stable,true,0
elite_conquistador,elite_elephant,Elite Conquistador vs Elite Battle Elephant,18,14,4,-52.64969135802469,-64.80246913580247,-43.71604938271605,0,,,,,,stable,true,1
elite_karambit_warrior,paladin,Elite Karambit Warrior vs Paladin,21,5,4,-21.964285714285715,-28.333333333333332,-6.190476190476191,1,6.777777777777778,6.777777777777778,6.777777777777778,28.742063492063494,12.968253968253968,stable,true,0
elite_longbowman,arbalester,Elite Longbowman vs Arbalester,20,21,1,-73.75,-73.75,-73.75,1,26.428571428571427,26.428571428571427,26.428571428571427,100.17857142857143,100.17857142857143,stable,true,0
elite_longbowman,heavy_cav_archer,Elite Longbowman vs Heavy Cavalry Archer,21,15,1,-50.714285714285715,-50.714285714285715,-50.714285714285715,1,11.666666666666666,11.666666666666666,11.666666666666666,62.38095238095238,62.38095238095238,stable,true,0
elite_longbowman,heavy_scorpion,Elite Longbowman vs Heavy Scorpion,21,10,4,-10.565476190476192,-19.047619047619047,-3.5714285714285716,1,27.25,27.25,27.25,37.81547619047619,30.821428571428573,stable,true,0
elite_magyar_huszar,arbalester,Arbalester vs Elite Magyar Huszar,21,18,4,17.348484848484848,9.696969696969697,26.666666666666668,1,55.15151515151515,55.15151515151515,55.15151515151515,37.8030303030303,28.48484848484848,stable,false,0
elite_mangudai,elite_elephant,Elite Mangudai vs Elite Battle Elephant,19,14,4,47.39955357142858,43.28125,50.513392857142854,1,72.27678571428571,72.27678571428571,72.27678571428571,24.87723214285713,21.763392857142854,stable,false,0
elite_plumed_archer,elite_elephant,Elite Plumed Archer vs Elite Battle Elephant,21,9,1,47.048611111111114,47.048611111111114,47.048611111111114,1,85.9375,85.9375,85.9375,38.888888888888886,38.888888888888886,stable,false,0
elite_plumed_archer,paladin,Elite Plumed Archer vs Paladin,21,11,4,19.292929292929294,11.717171717171718,25.454545454545453,1,53.63636363636363,53.63636363636363,53.63636363636363,34.34343434343434,28.18181818181818,stable,false,0
elite_tarkan,heavy_cav_archer,Heavy Cavalry Archer vs Elite Tarkan,21,18,1,56.5359477124183,56.5359477124183,56.5359477124183,1,69.08496732026144,69.08496732026144,69.08496732026144,12.549019607843142,12.549019607843142,stable,false,0
elite_throwing_axeman,arbalester,Elite Throwing Axeman vs Arbalester,21,21,4,-19.761904761904763,-24.761904761904763,-13.741496598639456,1,20.595238095238095,20.595238095238095,20.595238095238095,40.35714285714286,34.33673469387755,stable,true,0
elite_war_wagon,champion,Elite War Wagon vs Champion,8,21,4,20.10204081632653,9.115646258503402,25.4421768707483,1,-85.9375,-85.9375,-85.9375,106.03954081632654,95.0531462585034,stable,true,0
