id,matchup,ranged_unit,ranged_count,melee_unit,melee_count,tape_mean,tape_min,tape_max,simulation_mean,simulation_min,simulation_max,signed_mean_delta,absolute_mean_delta,tape_band_error,tape_band_coverage,winner_agreement,simulation_runs,unresolved_runs,failure
5-10_vs_359-21,Hand Cannoneer vs Halberdier,Hand Cannoneer,10,Halberdier,21,-76.5,-76.5,-76.5,-81.5,-91,-74.5,-5,5,5,0,match,5,0,
5-14_vs_441-21,Hand Cannoneer vs Hussar,Hand Cannoneer,14,Hussar,21,5.626044277360067,-18.75,17.894736842105264,59.41102756892231,45.41353383458647,68.1203007518797,53.78498329156224,53.78498329156224,41.51629072681705,0,volatile,100,0,
5-14_vs_567-21,Hand Cannoneer vs Champion,Hand Cannoneer,14,Champion,21,-76.60714285714286,-82.5,-73.21428571428571,-77.71428571428571,-85,-70.71428571428571,-1.107142857142847,1.107142857142847,0,0.4,match,5,0,
5-19_vs_1903-21,Hand Cannoneer vs Elite Fire Lancer,Hand Cannoneer,19,Elite Fire Lancer,21,-60.921052631578945,-60.921052631578945,-60.921052631578945,-68.92105263157895,-76.3157894736842,-62.76315789473684,-8,8,8,0,match,5,0,
5-21_vs_330-17,Hand Cannoneer vs Heavy Camel Rider,Hand Cannoneer,21,Heavy Camel Rider,17,-67.51984126984127,-73.57142857142857,-61.30952380952381,-44.69047619047619,-49.404761904761905,-40.23809523809524,22.829365079365076,22.829365079365076,16.61904761904762,0,match,5,0,
5-21_vs_569-14,Hand Cannoneer vs Paladin,Hand Cannoneer,21,Paladin,14,15.444444444444446,-9.047619047619047,32.142857142857146,52.40079365079367,39.285714285714285,64.28571428571429,36.95634920634923,36.95634920634923,20.257936507936527,0,volatile,100,0,
5-21_vs_1134-12,Hand Cannoneer vs Elite Battle Elephant,Hand Cannoneer,21,Elite Battle Elephant,12,2.3839285714285707,-38.333333333333336,32.291666666666664,72.34062499999996,60,81.25,69.95669642857139,69.95669642857139,40.048958333333296,0,volatile,100,0,
5-21_vs_1372-19,Hand Cannoneer vs Elite Steppe Lancer,Hand Cannoneer,21,Elite Steppe Lancer,19,8.026315789473685,8.026315789473685,8.026315789473685,59.86842105263158,58.81578947368421,61.421052631578945,51.8421052631579,51.8421052631579,51.8421052631579,0,match,5,0,
6-21_vs_330-8,Elite Skirmisher vs Heavy Camel Rider,Elite Skirmisher,21,Heavy Camel Rider,8,39.82142857142857,39.82142857142857,39.82142857142857,-3.7967687074829923,-31.428571428571427,26.517857142857142,-43.61819727891156,43.61819727891156,43.61819727891156,0,mismatch,5,0,
6-21_vs_359-21,Elite Skirmisher vs Halberdier,Elite Skirmisher,21,Halberdier,21,-60,-60,-60,-74.28571428571428,-83.80952380952381,-68.57142857142857,-14.285714285714278,14.285714285714278,14.285714285714278,0,match,5,0,
6-21_vs_441-15,Elite Skirmisher vs Hussar,Elite Skirmisher,21,Hussar,15,85.42690058479532,84.70175438596492,86.3157894736842,89.03859649122806,87.43859649122807,90.80701754385964,3.611695906432743,3.611695906432743,2.7228070175438575,0,match,5,0,
6-21_vs_567-15,Elite Skirmisher vs Champion,Elite Skirmisher,21,Champion,15,54.23809523809524,47.42857142857143,60.76190476190476,70.32380952380953,60.19047619047619,76.19047619047619,16.08571428571429,16.08571428571429,9.56190476190477,0.2,match,5,0,
6-21_vs_569-7,Elite Skirmisher vs Paladin,Elite Skirmisher,21,Paladin,7,87.38095238095238,85.63492063492063,88.96825396825396,87.28571428571428,83.80952380952381,88.88888888888889,-0.095238095238102,0.095238095238102,0,0.8,match,5,0,
6-21_vs_1134-6,Elite Skirmisher vs Elite Battle Elephant,Elite Skirmisher,21,Elite Battle Elephant,6,84.5703125,83.125,85.9375,90.35416666666666,89.11458333333333,91.19791666666667,5.783854166666657,5.783854166666657,4.416666666666657,0,match,5,0,
6-21_vs_1372-9,Elite Skirmisher vs Elite Steppe Lancer,Elite Skirmisher,21,Elite Steppe Lancer,9,85.85185185185185,84.55555555555556,86.77777777777777,88.91111111111111,88.33333333333333,90.44444444444444,3.059259259259264,3.059259259259264,2.13333333333334,0,match,5,0,
