id,my_civ,my_unit_slug,opp_civ,opp_unit_slug,scale,my_count,opp_count,my_cost_food,my_cost_wood,my_cost_gold,opp_cost_food,opp_cost_wood,opp_cost_gold,winner,end_reason,game_time_s,team1_hp_pct,team1_survivors,team1_food_lost,team1_wood_lost,team1_gold_lost,team1_food_gained,team1_wood_gained,team1_gold_gained,team1_value_lost,team2_hp_pct,team2_survivors,team2_food_lost,team2_wood_lost,team2_gold_lost,team2_food_gained,team2_wood_gained,team2_gold_gained,team2_value_lost,team1_start_count,team2_start_count,runs_count,score_stddev,dedup_group,sim_version
56329,Armenians,arbalester,Armenians,arbalester,30v30,30,30,0.0,25.0,45.0,0.0,25.0,45.0,1,eliminated,50.467,0.1483,7,0.0,638.75,1149.75,0.0,0.0,0.0,1788.5,0.0,0,0.0,750.0,1350.0,0.0,0.0,0.0,2100.0,30,30,1,,493b9e74677f0dcc,3c9bdb5fd808b3ad
59689,Armenians,arbalester,Armenians,arbalester,3k,42,42,0.0,25.0,45.0,0.0,25.0,45.0,1,eliminated,69.133,0.1048,11,0.0,940.0,1692.0,0.0,0.0,0.0,2632.0,0.0,0,0.0,1050.0,1890.0,0.0,0.0,0.0,2940.0,42,42,1,,64b024ab063c357b,3c9bdb5fd808b3ad
204,Armenians,arbalester,Armenians,champion,30v30,30,30,0.0,25.0,45.0,50.0,0.0,20.0,2,eliminated,109.633,0.0,0,0.0,750.0,1350.0,0.0,0.0,0.0,2100.0,0.4653,24,802.0,0.0,320.8,0.0,0.0,0.0,1122.8,30,30,1,,713308e31a5f0dcd,3c9bdb5fd808b3ad
402,Armenians,arbalester,Armenians,champion,3k,42,42,0.0,25.0,45.0,50.0,0.0,20.0,2,eliminated,112.733,0.0,0,0.0,1050.0,1890.0,0.0,0.0,0.0,2940.0,0.5733,35,896.0,0.0,358.4,0.0,0.0,0.0,1254.4,42,42,1,,7c9325b8981fb5e2,3c9bdb5fd808b3ad
56297,Armenians,arbalester,Armenians,elite_composite_bowman_armenians,30v30,30,30,0.0,25.0,45.0,0.0,35.0,45.0,2,eliminated,37.233,0.0,0,0.0,750.0,1350.0,0.0,0.0,0.0,2100.0,0.4267,24,0.0,602.0,774.0,0.0,0.0,0.0,1376.0,30,30,1,,41a384c9c2f63d5b,3c9bdb5fd808b3ad
60489,Armenians,arbalester,Armenians,elite_composite_bowman_armenians,3k,42,37,0.0,25.0,45.0,0.0,35.0,45.0,2,eliminated,52.933,0.0,0,0.0,1050.0,1890.0,0.0,0.0,0.0,2940.0,0.3261,23,0.0,872.667,1122.0,0.0,0.0,0.0,1994.667,42,37,1,,4d7caea3006e74a6,3c9bdb5fd808b3ad
4353,Armenians,arbalester,Armenians,halberdier,30v30,30,30,0.0,25.0,45.0,35.0,25.0,0.0,1,eliminated,34.3,0.9883,30,0.0,8.75,15.75,0.0,0.0,0.0,24.5,0.0,0,1050.0,750.0,0.0,0.0,0.0,0.0,1800.0,30,30,1,,12bc722072dd94fa,3c9bdb5fd808b3ad
5153,Armenians,arbalester,Armenians,halberdier,3k,42,50,0.0,25.0,45.0,35.0,25.0,0.0,1,eliminated,37.933,0.9012,41,0.0,103.75,186.75,0.0,0.0,0.0,290.5,0.0,0,1750.0,1250.0,0.0,0.0,0.0,0.0,3000.0,42,50,1,,689b683c883bc84b,3c9bdb5fd808b3ad
56617,Armenians,arbalester,Armenians,heavy_cav_archer,30v30,30,30,0.0,25.0,45.0,0.0,40.0,60.0,1,eliminated,67.8,0.4067,20,0.0,445.0,801.0,0.0,0.0,0.0,1246.0,0.0,0,0.0,1200.0,1800.0,0.0,0.0,0.0,3000.0,30,30,1,,1b6278d71177b71e,3c9bdb5fd808b3ad
59593,Armenians,arbalester,Armenians,heavy_cav_archer,3k,42,30,0.0,25.0,45.0,0.0,40.0,60.0,1,eliminated,55.7,0.6179,33,0.0,401.25,722.25,0.0,0.0,0.0,1123.5,0.0,0,0.0,1200.0,1800.0,0.0,0.0,0.0,3000.0,42,30,1,,8ef04425a8df0a56,3c9bdb5fd808b3ad
56681,Armenians,arbalester,Armenians,heavy_scorpion,30v30,30,30,0.0,25.0,45.0,0.0,75.0,75.0,2,eliminated,31.133,0.0,0,0.0,750.0,1350.0,0.0,0.0,0.0,2100.0,0.8844,30,0.0,260.0,260.0,0.0,0.0,0.0,520.0,30,30,1,,be63113589d57a8f,3c9bdb5fd808b3ad
58441,Armenians,arbalester,Armenians,heavy_scorpion,3k,42,20,0.0,25.0,45.0,0.0,75.0,75.0,2,eliminated,57.6,0.0,0,0.0,1050.0,1890.0,0.0,0.0,0.0,2940.0,0.6067,16,0.0,590.0,590.0,0.0,0.0,0.0,1180.0,42,20,1,,b0e9588af764a929,3c9bdb5fd808b3ad
44356,Armenians,arbalester,Armenians,hussar,30v30,30,30,0.0,25.0,45.0,80.0,0.0,0.0,2,eliminated,67.367,0.0,0,0.0,750.0,1350.0,0.0,0.0,0.0,2100.0,0.22,9,1872.0,0.0,0.0,0.0,0.0,0.0,1872.0,30,30,1,,339e125429a442c2,3c9bdb5fd808b3ad
