Team1_Civ,Team1_Unit,Team1_Count,Team1_Remaining,Team1_HP,Team2_Civ,Team2_Unit,Team2_Count,Team2_Remaining,Team2_HP,Winner,Battle_Time
Armenians,Arbalester,40,25,1000,Aztecs,Arbalester,40,0,0,Team1,10.1
Armenians,Arbalester,40,18,702,Bengalis,Arbalester,40,0,0,Team1,14.1
Armenians,Arbalester,40,21,840,Berbers,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,18,702,Bohemians,Arbalester,40,0,0,Team1,14.1
Armenians,Arbalester,40,18,702,Britons,Arbalester,40,0,0,Team1,14.1
Armenians,Arbalester,40,27,1080,Bulgarians,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,33,1292,Burgundians,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,33,1292,Burmese,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,0,0,Byzantines,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,31,1204,Celts,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,0,0,Chinese,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,25,988,Cumans,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,0,0,Dravidians,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Ethiopians,Arbalester,40,17,653,Team2,11.7
Armenians,Arbalester,40,34,1342,Franks,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,33,1292,Georgians,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,28,1120,Goths,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,27,1080,Gurjaras,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,0,0,Hindustanis,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,27,1080,Huns,Crossbowman,40,0,0,Team1,6.0
Armenians,Arbalester,40,0,0,Incas,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Italians,Arbalester,40,27,1045,Team2,10.6
Armenians,Arbalester,40,0,0,Japanese,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,28,1120,Jurchens,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,21,840,Khitans,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,18,702,Khmer,Arbalester,40,0,0,Team1,14.1
Armenians,Arbalester,40,0,0,Koreans,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,21,840,Lithuanians,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,0,0,Magyars,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Malay,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Malians,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Mayans,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,16,604,Mongols,Arbalester,40,0,0,Team1,12.1
Armenians,Arbalester,40,25,988,Persians,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,16,604,Poles,Arbalester,40,0,0,Team1,12.1
Armenians,Arbalester,40,0,0,Portuguese,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,31,1204,Romans,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,0,0,Saracens,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,0,0,Shu,Arbalester,40,11,413,Team2,17.6
Armenians,Arbalester,40,25,1000,Sicilians,Arbalester,40,0,0,Team1,10.1
Armenians,Arbalester,40,31,1204,Slavs,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,21,840,Spanish,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,21,840,Tatars,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,31,1204,Teutons,Crossbowman,40,0,0,Team1,8.0
Armenians,Arbalester,40,21,840,Turks,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,0,0,Vietnamese,Arbalester,40,20,915,Team2,12.3
Armenians,Arbalester,40,0,0,Vikings,Arbalester,40,3,102,Team2,26.1
Armenians,Arbalester,40,21,840,Wei,Crossbowman,40,0,0,Team1,10.1
Armenians,Arbalester,40,25,1000,Wu,Arbalester,40,0,0,Team1,10.1
Aztecs,Arbalester,40,0,0,Bengalis,Arbalester,40,3,102,Team2,26.1
Aztecs,Arbalester,40,0,0,Berbers,Crossbowman,40,9,315,Team2,14.1
Aztecs,Arbalester,40,0,0,Bohemians,Arbalester,40,3,102,Team2,26.1
Aztecs,Arbalester,40,0,0,Britons,Arbalester,40,3,102,Team2,26.1
Aztecs,Arbalester,40,19,730,Bulgarians,Crossbowman,40,0,0,Team1,8.0
Aztecs,Arbalester,40,28,1110,Burgundians,Crossbowman,40,0,0,Team1,6.0
Aztecs,Arbalester,40,28,1110,Burmese,Crossbowman,40,0,0,Team1,6.0
Aztecs,Arbalester,40,0,0,Byzantines,Arbalester,40,21,804,Team2,10.6
Aztecs,Arbalester,40,25,1000,Celts,Crossbowman,40,0,0,Team1,10.1
Aztecs,Arbalester,40,0,0,Chinese,Arbalester,40,21,804,Team2,10.6
Aztecs,Arbalester,40,16,604,Cumans,Crossbowman,40,0,0,Team1,12.1
Aztecs,Arbalester,40,0,0,Dravidians,Arbalester,40,21,804,Team2,10.6
Aztecs,Arbalester,40,0,0,Ethiopians,Arbalester,40,23,911,Team2,7.3
Aztecs,Arbalester,40,31,1222,Franks,Crossbowman,40,0,0,Team1,6.0
Aztecs,Arbalester,40,28,1110,Georgians,Crossbowman,40,0,0,Team1,6.0
Aztecs,Arbalester,40,20,800,Goths,Crossbowman,40,0,0,Team1,10.1
Aztecs,Arbalester,40,19,730,Gurjaras,Crossbowman,40,0,0,Team1,8.0
