Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Crossbowman,35,5,8.0,0.5,2,2,0.96,0,25,45,27,850,+1 Archer range,Yes
Franks,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Goths,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Teutons,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Japanese,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Chinese,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Byzantines,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Persians,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Saracens,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Turks,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Vikings,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Mongols,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Celts,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Spanish,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Aztecs,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Mayans,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,22,40,27,1400,-20% archer cost,Yes
Huns,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Koreans,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,12,45,27,1400,Units cost less wood,Yes
Italians,Crossbowman,35,5,7.0,0.588,3,3,0.96,0,25,45,27,1400,Archers +1/+1 armor,Yes
Hindustanis,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Incas,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Slavs,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Portuguese,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,36,27,1400,All units -20% gold,Yes
Ethiopians,Crossbowman,35,5,7.0,0.692,2,2,0.96,0,25,45,27,1400,Archers fire +15% fas,Yes
Malians,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Berbers,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Khmer,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Malay,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Burmese,Crossbowman,35,5,7.0,0.5,1,1,0.96,0,25,45,27,550,-,Yes
Vietnamese,Crossbowman,42,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,Archers +20% HP,Yes
Bulgarians,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Tatars,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Cumans,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Lithuanians,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Burgundians,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Sicilians,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,Bonus damage resistance,Yes
Poles,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Bohemians,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Dravidians,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Bengalis,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Gurjaras,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Romans,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Armenians,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Georgians,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Shu,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Wu,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Wei,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
Jurchens,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,No friendly damage,Yes
Khitans,Crossbowman,35,5,7.0,0.588,2,2,0.96,0,25,45,27,1400,-,Yes
