Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Elephant Archer,,,,,,,,,,,,,,No
Franks,Elephant Archer,,,,,,,,,,,,,,No
Goths,Elephant Archer,,,,,,,,,,,,,,No
Teutons,Elephant Archer,,,,,,,,,,,,,,No
Japanese,Elephant Archer,,,,,,,,,,,,,,No
Chinese,Elephant Archer,,,,,,,,,,,,,,No
Byzantines,Elephant Archer,,,,,,,,,,,,,,No
Persians,Elephant Archer,,,,,,,,,,,,,,No
Saracens,Elephant Archer,,,,,,,,,,,,,,No
Turks,Elephant Archer,,,,,,,,,,,,,,No
Vikings,Elephant Archer,,,,,,,,,,,,,,No
Mongols,Elephant Archer,,,,,,,,,,,,,,No
Celts,Elephant Archer,,,,,,,,,,,,,,No
Spanish,Elephant Archer,,,,,,,,,,,,,,No
Aztecs,Elephant Archer,,,,,,,,,,,,,,No
Mayans,Elephant Archer,,,,,,,,,,,,,,No
Huns,Elephant Archer,,,,,,,,,,,,,,No
Koreans,Elephant Archer,,,,,,,,,,,,,,No
Italians,Elephant Archer,,,,,,,,,,,,,,No
Hindustanis,Elephant Archer,250,6,6.0,0.588,2,4,0.99,60,0,80,32,1800,-,Yes
Incas,Elephant Archer,,,,,,,,,,,,,,No
Magyars,Elephant Archer,,,,,,,,,,,,,,No
Slavs,Elephant Archer,,,,,,,,,,,,,,No
Portuguese,Elephant Archer,,,,,,,,,,,,,,No
Ethiopians,Elephant Archer,,,,,,,,,,,,,,No
Malians,Elephant Archer,,,,,,,,,,,,,,No
Berbers,Elephant Archer,,,,,,,,,,,,,,No
Khmer,Elephant Archer,,,,,,,,,,,,,,No
Malay,Elephant Archer,,,,,,,,,,,,,,No
Burmese,Elephant Archer,,,,,,,,,,,,,,No
Vietnamese,Elephant Archer,,,,,,,,,,,,,,No
Bulgarians,Elephant Archer,,,,,,,,,,,,,,No
Tatars,Elephant Archer,,,,,,,,,,,,,,No
Cumans,Elephant Archer,,,,,,,,,,,,,,No
Lithuanians,Elephant Archer,,,,,,,,,,,,,,No
Burgundians,Elephant Archer,,,,,,,,,,,,,,No
Sicilians,Elephant Archer,,,,,,,,,,,,,,No
Poles,Elephant Archer,,,,,,,,,,,,,,No
Bohemians,Elephant Archer,,,,,,,,,,,,,,No
Dravidians,Elephant Archer,230,6,6.0,0.735,2,4,0.99,60,0,80,32,1550,Skirm and EA faster attack,Yes
Bengalis,Elephant Archer,250,6,6.0,0.5,2,4,0.99,60,0,80,32,1250,Elephant resistance,Yes
Gurjaras,Elephant Archer,250,6,6.0,0.588,2,4,0.99,60,0,80,32,1800,"+20% Cav bonus damage, +30% Cav bonus damage",Yes
Romans,Elephant Archer,,,,,,,,,,,,,,No
Armenians,Elephant Archer,,,,,,,,,,,,,,No
Georgians,Elephant Archer,,,,,,,,,,,,,,No
Shu,Elephant Archer,,,,,,,,,,,,,,No
Wu,Elephant Archer,,,,,,,,,,,,,,No
Wei,Elephant Archer,,,,,,,,,,,,,,No
Jurchens,Elephant Archer,,,,,,,,,,,,,,No
Khitans,Elephant Archer,,,,,,,,,,,,,,No
