Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Franks,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1190,Cavalry +20% HP,Yes
Goths,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Teutons,Knight,120,12,0.556,5,4,1.35,60,0,75,30,1290,Inf Cav +1 armor Age3,Yes
Japanese,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Chinese,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Byzantines,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Persians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Saracens,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Turks,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Vikings,Knight,100,12,0.556,4,4,1.35,60,0,75,30,1040,-,Yes
Mongols,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Celts,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Spanish,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Aztecs,Knight,,,,,,,,,,,,,No
Mayans,Knight,,,,,,,,,,,,,No
Huns,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Koreans,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Italians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Hindustanis,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Incas,Knight,,,,,,,,,,,,,No
Magyars,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Slavs,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Portuguese,Knight,120,12,0.556,4,4,1.49,60,0,60,30,1440,All units -20% gold,Yes
Ethiopians,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Malians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Berbers,Knight,120,12,0.556,4,4,1.49,51,0,64,30,1440,Stable units -15% che,Yes
Khmer,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Malay,Knight,100,12,0.556,3,3,1.49,60,0,75,30,790,-,Yes
Burmese,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Vietnamese,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Bulgarians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Tatars,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Cumans,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1290,"Cavalry +5% speed Age2, Cavalry +5% speed Age3",Yes
Lithuanians,Knight,120,16,0.556,4,4,1.49,60,0,75,30,1440,"Relic +1 cav attack 1, Relic +1 cav attack 2, Relic +1 cav attack 3, Relic +1 cav attack 4",Yes
Burgundians,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Sicilians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,Bonus damage resistance,Yes
Poles,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Bohemians,Knight,100,12,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Dravidians,Knight,,,,,,,,,,,,,No
Bengalis,Knight,,,,,,,,,,,,,No
Gurjaras,Knight,,,,,,,,,,,,,No
Romans,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Armenians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,-,Yes
Georgians,Knight,120,12,0.556,4,4,1.49,60,0,75,30,1440,"Cavalry regeneration age2, Cavalry regeneration age3",Yes
Shu,Knight,,,,,,,,,,,,,No
Wu,Knight,,,,,,,,,,,,,No
Wei,Knight,,,,,,,,,,,,,No
Jurchens,Knight,,,,,,,,,,,,,No
Khitans,Knight,,,,,,,,,,,,,No
