Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Franks,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Goths,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Teutons,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Japanese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Chinese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Byzantines,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Persians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Saracens,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Turks,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Vikings,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Mongols,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Celts,Mangonel,50,40,7.0,0.208,0,6,0.6,0,160,135,46,0,Siege fire rate,Yes
Spanish,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Aztecs,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Mayans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Huns,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Koreans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Italians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Hindustanis,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Incas,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Magyars,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Slavs,Mangonel,50,40,7.0,0.167,0,6,0.6,0,136,115,46,0,Siege Units Cheaper,Yes
Portuguese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,108,46,0,All units -20% gold,Yes
Ethiopians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Malians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Berbers,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Khmer,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Malay,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Burmese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Vietnamese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Bulgarians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Tatars,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Cumans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Lithuanians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Burgundians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Sicilians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Poles,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Bohemians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Dravidians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,107,135,46,0,Siege wood discount,Yes
Bengalis,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Gurjaras,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Romans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Armenians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Georgians,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Shu,Mangonel,50,40,7.0,0.167,0,6,0.66,0,160,135,46,0,Siege +10% movement,Yes
Wu,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Wei,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Jurchens,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,No friendly damage,Yes
Khitans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
