Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Franks,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Goths,Pikeman,55,6,0.333,2,2,1.1,26,19,0,22,990,"Inf v Building Age2, Inf v Building Age3, Infantry Cost -15%, Infantry Cost -20%, Infantry Cost -25%",Yes
Teutons,Pikeman,55,6,0.333,3,2,1.1,35,25,0,22,1090,Inf Cav +1 armor Age3,Yes
Japanese,Pikeman,55,6,0.444,2,2,1.1,35,25,0,22,1090,Inf Attack Spd,Yes
Chinese,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Byzantines,Pikeman,55,6,0.333,2,2,1.1,26,19,0,22,1090,Skirms Pikes cost -25%,Yes
Persians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Saracens,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Turks,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Vikings,Pikeman,66,6,0.333,2,2,1.1,35,25,0,22,1090,Inf +20% HP,Yes
Mongols,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Celts,Pikeman,55,6,0.333,2,2,1.15,35,25,0,22,990,"Infantry +5% speed, Infantry +10% speed, Infantry +15% speed",Yes
Spanish,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Aztecs,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Mayans,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Huns,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Koreans,Pikeman,55,6,0.333,2,2,1.1,35,12,0,22,1090,Units cost less wood,Yes
Italians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Hindustanis,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Incas,Pikeman,55,6,0.333,2,2,1.1,28,25,0,22,1090,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Pikeman,55,6,0.333,2,2,1.0,35,25,0,22,990,-,Yes
Slavs,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Portuguese,Pikeman,55,6,0.333,2,2,1.0,35,25,0,22,990,All units -20% gold,Yes
Ethiopians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Malians,Pikeman,55,6,0.333,2,4,1.1,35,25,0,22,1090,"inf +1 armor feudal, inf +1 armor castle",Yes
Berbers,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Khmer,Pikeman,55,6,0.333,2,2,1.0,35,25,0,22,990,-,Yes
Malay,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Burmese,Pikeman,55,8,0.333,2,2,1.1,35,25,0,22,1090,"inf +1 attack feudal, inf +1 attack castle",Yes
Vietnamese,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Bulgarians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Tatars,Pikeman,55,6,0.333,1,1,1.1,35,25,0,22,790,-,Yes
Cumans,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Lithuanians,Pikeman,55,6,0.333,2,2,1.21,35,25,0,22,1090,Skirms Pikes 10% faster,Yes
Burgundians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Sicilians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,Bonus damage resistance,Yes
Poles,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Bohemians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,Bonus damage increase,Yes
Dravidians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Bengalis,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Gurjaras,Pikeman,55,6,0.333,2,2,1.0,35,25,0,22,990,-,Yes
Romans,Pikeman,55,6,0.333,5,6,1.1,35,25,0,22,990,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Georgians,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Shu,Pikeman,55,5,0.333,2,2,1.1,35,25,0,22,750,-,Yes
Wu,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,"inf regen Feudal, inf regen Castle",Yes
Wei,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,-,Yes
Jurchens,Pikeman,55,6,0.333,2,2,1.1,35,25,0,22,1090,No friendly damage,Yes
Khitans,Pikeman,55,10,0.333,2,2,1.1,35,25,0,18,1090,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
