Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Franks,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Goths,Long Swordsman,75,9,0.5,2,2,1.05,49,0,19,35,990,"Inf v Building Age2, Inf v Building Age3, Infantry Cost -15%, Infantry Cost -20%, Infantry Cost -25%",Yes
Teutons,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Japanese,Long Swordsman,75,9,0.667,2,2,1.05,65,0,25,35,1090,Inf Attack Spd,Yes
Chinese,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Byzantines,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Persians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Saracens,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Turks,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Vikings,Long Swordsman,90,9,0.5,2,2,1.05,65,0,25,35,1090,Inf +20% HP,Yes
Mongols,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Celts,Long Swordsman,75,9,0.5,2,2,1.09,65,0,25,35,990,"Infantry +5% speed, Infantry +10% speed, Infantry +15% speed",Yes
Spanish,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Aztecs,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Mayans,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Huns,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Koreans,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,Units cost less wood,Yes
Italians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Hindustanis,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Incas,Long Swordsman,75,9,0.5,2,2,1.05,52,0,25,35,1090,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Long Swordsman,75,9,0.5,2,2,0.95,65,0,25,35,990,-,Yes
Slavs,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Portuguese,Long Swordsman,75,9,0.5,2,2,0.95,65,0,20,35,990,All units -20% gold,Yes
Ethiopians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Malians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Berbers,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Khmer,Long Swordsman,75,9,0.5,2,2,0.95,65,0,25,35,990,-,Yes
Malay,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Burmese,Long Swordsman,75,11,0.5,2,2,1.05,65,0,25,35,1090,"inf +1 attack feudal, inf +1 attack castle",Yes
Vietnamese,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Bulgarians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Tatars,Long Swordsman,75,9,0.5,1,1,1.05,65,0,25,35,790,-,Yes
Cumans,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Lithuanians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Burgundians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Sicilians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,Bonus damage resistance,Yes
Poles,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Bohemians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Dravidians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Bengalis,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Gurjaras,Long Swordsman,75,9,0.5,2,2,0.95,65,0,25,35,990,-,Yes
Romans,Long Swordsman,75,9,0.5,5,6,1.05,65,0,25,35,990,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Georgians,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Shu,Long Swordsman,75,8,0.5,2,2,1.05,65,0,25,35,750,-,Yes
Wu,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,"inf regen Feudal, inf regen Castle",Yes
Wei,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,-,Yes
Jurchens,Long Swordsman,75,9,0.5,2,2,1.05,65,0,25,35,1090,No friendly damage,Yes
Khitans,Long Swordsman,75,13,0.5,2,2,1.05,65,0,25,35,1090,"Double Forging, Double Iron Casting, Double Blast Furnace",Yes
