Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,+1 Archer range,Yes
Franks,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Goths,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Teutons,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Japanese,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Chinese,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Byzantines,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,19,26,0,22,1400,Skirms Pikes cost -25%,Yes
Persians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Saracens,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Turks,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Vikings,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Mongols,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Celts,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Spanish,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Aztecs,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Mayans,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Huns,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Koreans,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,18,0,22,1400,Units cost less wood,Yes
Italians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,Archers +1/+1 armor,Yes
Hindustanis,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Incas,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,20,35,0,22,1400,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Slavs,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Portuguese,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,All units -20% gold,Yes
Ethiopians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Malians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Berbers,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Khmer,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Malay,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Burmese,Elite Skirmisher,35,3,7.0,0.333,1,5,0.96,25,35,0,22,550,-,Yes
Vietnamese,Elite Skirmisher,42,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,Archers +20% HP,Yes
Bulgarians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Tatars,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Cumans,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Lithuanians,Elite Skirmisher,35,3,7.0,0.333,2,6,1.06,25,35,0,22,1400,Skirms Pikes 10% faster,Yes
Burgundians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Sicilians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,Bonus damage resistance,Yes
Poles,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Bohemians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Dravidians,Elite Skirmisher,35,3,7.0,0.417,2,6,0.96,25,35,0,22,1400,Skirm and EA faster attack,Yes
Bengalis,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Gurjaras,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Romans,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Armenians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Georgians,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Shu,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Wu,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,-,Yes
Wei,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,1400,-,Yes
Jurchens,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,22,850,No friendly damage,Yes
Khitans,Elite Skirmisher,35,3,7.0,0.333,2,6,0.96,25,35,0,18,1400,Skirms Spear Scout train 25% faster,Yes
