Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Franks,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Goths,Man-at-Arms,45,4,0.333,1,1,1.0,28,20,0,22,250,"Inf v Building Age2, Infantry Cost -15%, Infantry Cost -20%",Yes
Teutons,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Japanese,Man-at-Arms,45,4,0.444,1,1,1.0,35,25,0,22,350,Inf Attack Spd,Yes
Chinese,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Byzantines,Man-at-Arms,45,4,0.333,1,1,1.0,26,19,0,22,350,Skirms Pikes cost -25%,Yes
Persians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Saracens,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Turks,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Vikings,Man-at-Arms,54,4,0.333,1,1,1.0,35,25,0,22,350,Inf +20% HP,Yes
Mongols,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Celts,Man-at-Arms,45,4,0.333,1,1,1.1,35,25,0,22,350,"Infantry +5% speed, Infantry +10% speed",Yes
Spanish,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Aztecs,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Mayans,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Huns,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Koreans,Man-at-Arms,45,4,0.333,1,1,1.0,35,12,0,22,350,Units cost less wood,Yes
Italians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Hindustanis,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Incas,Man-at-Arms,45,4,0.333,1,1,1.0,30,25,0,22,350,"Military cost -10%, Military cost -15%",Yes
Magyars,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Slavs,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Portuguese,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,All units -20% gold,Yes
Ethiopians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Malians,Man-at-Arms,45,4,0.333,1,2,1.0,35,25,0,22,350,inf +1 armor feudal,Yes
Berbers,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Khmer,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Malay,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Burmese,Man-at-Arms,45,5,0.333,1,1,1.0,35,25,0,22,350,inf +1 attack feudal,Yes
Vietnamese,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bulgarians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Tatars,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Cumans,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Lithuanians,Man-at-Arms,45,4,0.333,1,1,1.1,35,25,0,22,350,Skirms Pikes 10% faster,Yes
Burgundians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Sicilians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,Bonus damage resistance,Yes
Poles,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bohemians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,Bonus damage increase,Yes
Dravidians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bengalis,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Gurjaras,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Romans,Man-at-Arms,45,4,0.333,4,5,1.0,35,25,0,22,250,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Georgians,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Shu,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Wu,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,inf regen Feudal,Yes
Wei,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Jurchens,Man-at-Arms,45,4,0.333,1,1,1.0,35,25,0,22,350,No friendly damage,Yes
Khitans,Man-at-Arms,45,8,0.333,1,1,1.0,35,25,0,18,350,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
