Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Franks,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Goths,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Teutons,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Japanese,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Chinese,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Byzantines,Skirmisher,30,2,5.0,0.333,1,4,0.96,19,26,0,26,250,Skirms Pikes cost -25%,Yes
Persians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Saracens,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Turks,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Vikings,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Mongols,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Celts,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Spanish,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Aztecs,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Mayans,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Huns,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Koreans,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,18,0,26,250,Units cost less wood,Yes
Italians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,Archers +1/+1 armor,Yes
Hindustanis,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Incas,Skirmisher,30,2,5.0,0.333,1,4,0.96,21,35,0,26,250,"Military cost -10%, Military cost -15%",Yes
Magyars,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Slavs,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Portuguese,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,All units -20% gold,Yes
Ethiopians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Malians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Berbers,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Khmer,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Malay,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Burmese,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Vietnamese,Skirmisher,36,2,5.0,0.333,1,4,0.96,25,35,0,26,250,Archers +20% HP,Yes
Bulgarians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Tatars,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Cumans,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Lithuanians,Skirmisher,30,2,5.0,0.333,1,4,1.06,25,35,0,26,250,Skirms Pikes 10% faster,Yes
Burgundians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Sicilians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,Bonus damage resistance,Yes
Poles,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Bohemians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Dravidians,Skirmisher,30,2,5.0,0.417,1,4,0.96,25,35,0,26,250,Skirm and EA faster attack,Yes
Bengalis,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Gurjaras,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Romans,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Armenians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Georgians,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Shu,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Wu,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Wei,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,-,Yes
Jurchens,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,26,250,No friendly damage,Yes
Khitans,Skirmisher,30,2,5.0,0.333,1,4,0.96,25,35,0,21,250,Skirms Spear Scout train 25% faster,Yes
