Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Fire Archer,35,4,12.0,0.286,2,2,0.96,0,45,45,17,850,+1 Archer range,Yes
Franks,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Goths,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Teutons,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Japanese,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Chinese,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Byzantines,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Persians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Saracens,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Turks,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Vikings,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Mongols,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Celts,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Spanish,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Aztecs,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Mayans,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Huns,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Koreans,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,22,45,17,1400,Units cost less wood,Yes
Italians,Fire Archer,35,4,11.0,0.336,3,3,0.96,0,45,45,17,1400,Archers +1/+1 armor,Yes
Hindustanis,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Incas,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Slavs,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Portuguese,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,36,17,1400,All units -20% gold,Yes
Ethiopians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Malians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Berbers,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Khmer,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Malay,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Burmese,Fire Archer,35,4,11.0,0.286,1,1,0.96,0,45,45,17,550,-,Yes
Vietnamese,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Bulgarians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Tatars,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Cumans,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Lithuanians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Burgundians,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Sicilians,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,Bonus damage resistance,Yes
Poles,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Bohemians,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Dravidians,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Bengalis,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Gurjaras,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Romans,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Armenians,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Georgians,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Shu,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Wu,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,-,Yes
Wei,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
Jurchens,Fire Archer,35,4,11.0,0.286,2,2,0.96,0,45,45,17,850,No friendly damage,Yes
Khitans,Fire Archer,35,4,11.0,0.336,2,2,0.96,0,45,45,17,1400,-,Yes
