Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Arbalester,40,6,10.0,0.5,3,4,0.96,0,25,45,27,1850,"+1 Archer range, archer range +1",Yes
Franks,Crossbowman,35,5,7.0,0.5,2,2,0.96,0,25,45,27,850,-,Yes
Goths,Crossbowman,35,5,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Teutons,Crossbowman,35,5,7.0,0.5,3,4,0.96,0,25,45,27,1350,-,Yes
Japanese,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Chinese,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Byzantines,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Persians,Crossbowman,35,5,7.0,0.588,3,4,0.96,0,25,45,27,1900,-,Yes
Saracens,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Turks,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Vikings,Arbalester,40,6,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Mongols,Arbalester,40,6,8.0,0.588,2,2,0.96,0,25,45,27,1900,-,Yes
Celts,Crossbowman,35,5,7.0,0.5,3,4,0.96,0,25,45,27,1350,-,Yes
Spanish,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Aztecs,Arbalester,40,6,8.0,0.5,2,2,0.96,0,25,45,27,1350,-,Yes
Mayans,Arbalester,40,6,8.0,0.588,3,4,0.96,0,20,35,27,2400,"-20% archer cost, -30% archer cost",Yes
Huns,Crossbowman,35,5,8.0,0.588,2,2,0.96,0,25,45,27,1900,-,Yes
Koreans,Arbalester,40,6,8.0,0.588,3,4,0.96,0,12,45,27,2400,Units cost less wood,Yes
Italians,Arbalester,40,6,8.0,0.588,4,5,0.96,0,25,45,27,2400,Archers +1/+1 armor,Yes
Hindustanis,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Incas,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Slavs,Crossbowman,35,5,7.0,0.5,3,4,0.96,0,25,45,27,1350,-,Yes
Portuguese,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,36,27,2400,All units -20% gold,Yes
Ethiopians,Arbalester,40,6,8.0,0.692,3,4,0.96,0,25,45,27,2400,Archers fire +15% fas,Yes
Malians,Arbalester,40,6,7.0,0.588,3,4,0.96,0,25,45,27,1900,-,Yes
Berbers,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Khmer,Arbalester,40,6,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Malay,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Burmese,Crossbowman,35,5,8.0,0.5,1,1,0.96,0,25,45,27,1050,-,Yes
Vietnamese,Arbalester,48,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,Archers +20% HP,Yes
Bulgarians,Crossbowman,35,5,8.0,0.588,2,2,0.96,0,25,45,27,1900,-,Yes
Tatars,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Cumans,Crossbowman,35,5,7.0,0.588,3,4,0.96,0,25,45,27,1900,-,Yes
Lithuanians,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Burgundians,Crossbowman,35,5,8.0,0.5,2,2,0.96,0,25,45,27,1350,-,Yes
Sicilians,Arbalester,40,6,8.0,0.5,2,2,0.96,0,25,45,27,1350,Bonus damage resistance,Yes
Poles,Arbalester,40,6,8.0,0.588,2,2,0.96,0,25,45,27,1900,-,Yes
Bohemians,Arbalester,40,6,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Dravidians,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Bengalis,Arbalester,40,6,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Gurjaras,Crossbowman,35,5,8.0,0.588,2,2,0.96,0,25,45,27,1900,-,Yes
Romans,Crossbowman,35,5,7.0,0.5,3,4,0.96,0,25,45,27,1350,-,Yes
Armenians,Arbalester,40,6,8.0,0.5,3,4,0.96,0,25,45,27,1850,-,Yes
Georgians,Crossbowman,35,5,8.0,0.5,2,2,0.96,0,25,45,27,1350,-,Yes
Shu,Arbalester,40,6,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Wu,Arbalester,40,6,8.0,0.5,2,2,0.96,0,25,45,27,1350,-,Yes
Wei,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
Jurchens,Crossbowman,35,5,8.0,0.5,3,4,0.96,0,25,45,27,1850,No friendly damage,Yes
Khitans,Crossbowman,35,5,8.0,0.588,3,4,0.96,0,25,45,27,2400,-,Yes
