Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Bombard Cannon,,,,,,,,,,,,,,No
Franks,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Goths,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Teutons,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Japanese,Bombard Cannon,,,,,,,,,,,,,,No
Chinese,Bombard Cannon,,,,,,,,,,,,,,No
Byzantines,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Persians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Saracens,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Turks,Bombard Cannon,100,40,12.0,0.154,2,5,0.7,0,225,225,56,0,Gunpowder +25% HP,Yes
Vikings,Bombard Cannon,,,,,,,,,,,,,,No
Mongols,Bombard Cannon,,,,,,,,,,,,,,No
Celts,Bombard Cannon,,,,,,,,,,,,,,No
Spanish,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Aztecs,Bombard Cannon,,,,,,,,,,,,,,No
Mayans,Bombard Cannon,,,,,,,,,,,,,,No
Huns,Bombard Cannon,,,,,,,,,,,,,,No
Koreans,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Italians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,180,180,56,0,Gunpowder -20% cheaper,Yes
Hindustanis,Bombard Cannon,80,40,12.0,0.154,3,6,0.7,0,225,225,56,0,Gunpowder armor,Yes
Incas,Bombard Cannon,,,,,,,,,,,,,,No
Magyars,Bombard Cannon,,,,,,,,,,,,,,No
Slavs,Bombard Cannon,,,,,,,,,,,,,,No
Portuguese,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,180,56,0,All units -20% gold,Yes
Ethiopians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Malians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Berbers,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Khmer,Bombard Cannon,,,,,,,,,,,,,,No
Malay,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Burmese,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Vietnamese,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Bulgarians,Bombard Cannon,,,,,,,,,,,,,,No
Tatars,Bombard Cannon,,,,,,,,,,,,,,No
Cumans,Bombard Cannon,,,,,,,,,,,,,,No
Lithuanians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Burgundians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,Gunpowder units +25% attack,Yes
Sicilians,Bombard Cannon,,,,,,,,,,,,,,No
Poles,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Bohemians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Dravidians,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,150,225,56,0,Siege wood discount,Yes
Bengalis,Bombard Cannon,,,,,,,,,,,,,,No
Gurjaras,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,-,Yes
Romans,Bombard Cannon,,,,,,,,,,,,,,No
Armenians,Bombard Cannon,,,,,,,,,,,,,,No
Georgians,Bombard Cannon,,,,,,,,,,,,,,No
Shu,Bombard Cannon,,,,,,,,,,,,,,No
Wu,Bombard Cannon,,,,,,,,,,,,,,No
Wei,Bombard Cannon,,,,,,,,,,,,,,No
Jurchens,Bombard Cannon,80,40,12.0,0.154,2,5,0.7,0,225,225,56,0,No friendly damage,Yes
Khitans,Bombard Cannon,,,,,,,,,,,,,,No
