Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Elephant Archer,,,,,,,,,,,,,,No
Franks,Elephant Archer,,,,,,,,,,,,,,No
Goths,Elephant Archer,,,,,,,,,,,,,,No
Teutons,Elephant Archer,,,,,,,,,,,,,,No
Japanese,Elephant Archer,,,,,,,,,,,,,,No
Chinese,Elephant Archer,,,,,,,,,,,,,,No
Byzantines,Elephant Archer,,,,,,,,,,,,,,No
Persians,Elephant Archer,,,,,,,,,,,,,,No
Saracens,Elephant Archer,,,,,,,,,,,,,,No
Turks,Elephant Archer,,,,,,,,,,,,,,No
Vikings,Elephant Archer,,,,,,,,,,,,,,No
Mongols,Elephant Archer,,,,,,,,,,,,,,No
Celts,Elephant Archer,,,,,,,,,,,,,,No
Spanish,Elephant Archer,,,,,,,,,,,,,,No
Aztecs,Elephant Archer,,,,,,,,,,,,,,No
Mayans,Elephant Archer,,,,,,,,,,,,,,No
Huns,Elephant Archer,,,,,,,,,,,,,,No
Koreans,Elephant Archer,,,,,,,,,,,,,,No
Italians,Elephant Archer,,,,,,,,,,,,,,No
Hindustanis,Elite Elephant Archer,300,7,7.0,0.588,4,8,0.99,60,0,80,32,3250,-,Yes
Incas,Elephant Archer,,,,,,,,,,,,,,No
Magyars,Elephant Archer,,,,,,,,,,,,,,No
Slavs,Elephant Archer,,,,,,,,,,,,,,No
Portuguese,Elephant Archer,,,,,,,,,,,,,,No
Ethiopians,Elephant Archer,,,,,,,,,,,,,,No
Malians,Elephant Archer,,,,,,,,,,,,,,No
Berbers,Elephant Archer,,,,,,,,,,,,,,No
Khmer,Elephant Archer,,,,,,,,,,,,,,No
Malay,Elephant Archer,,,,,,,,,,,,,,No
Burmese,Elephant Archer,,,,,,,,,,,,,,No
Vietnamese,Elephant Archer,,,,,,,,,,,,,,No
Bulgarians,Elephant Archer,,,,,,,,,,,,,,No
Tatars,Elephant Archer,,,,,,,,,,,,,,No
Cumans,Elephant Archer,,,,,,,,,,,,,,No
Lithuanians,Elephant Archer,,,,,,,,,,,,,,No
Burgundians,Elephant Archer,,,,,,,,,,,,,,No
Sicilians,Elephant Archer,,,,,,,,,,,,,,No
Poles,Elephant Archer,,,,,,,,,,,,,,No
Bohemians,Elephant Archer,,,,,,,,,,,,,,No
Dravidians,Elite Elephant Archer,280,7,7.0,0.735,3,6,0.99,60,0,80,32,2550,Skirm and EA faster attack,Yes
Bengalis,Elite Elephant Archer,300,7,7.0,0.5,3,6,0.99,60,0,80,32,2250,Elephant resistance,Yes
Gurjaras,Elite Elephant Archer,300,7,7.0,0.588,2,4,0.99,60,0,80,32,2300,"+20% Cav bonus damage, +30% Cav bonus damage, +40% Cav bonus damage",Yes
Romans,Elephant Archer,,,,,,,,,,,,,,No
Armenians,Elephant Archer,,,,,,,,,,,,,,No
Georgians,Elephant Archer,,,,,,,,,,,,,,No
Shu,Elephant Archer,,,,,,,,,,,,,,No
Wu,Elephant Archer,,,,,,,,,,,,,,No
Wei,Elephant Archer,,,,,,,,,,,,,,No
Jurchens,Elephant Archer,,,,,,,,,,,,,,No
Khitans,Elephant Archer,,,,,,,,,,,,,,No
