Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Franks,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Goths,Halberdier,60,10,0.333,2,2,1.1,25,18,0,22,1490,"Inf v Building Age2, Inf v Building Age3, Inf v Building Age4, Infantry Cost -15%, Infantry Cost -20%, Infantry Cost -25%, Infantry Cost -30%",Yes
Teutons,Halberdier,60,10,0.333,5,4,1.1,35,25,0,22,2040,"Inf Cav +1 armor Age3, Inf Cav +1 armor Age4",Yes
Japanese,Halberdier,60,10,0.444,3,4,1.1,35,25,0,22,2040,Inf Attack Spd,Yes
Chinese,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Byzantines,Halberdier,60,8,0.333,3,4,1.1,26,19,0,22,1540,Skirms Pikes cost -25%,Yes
Persians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Saracens,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Turks,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Vikings,Pikeman,66,8,0.333,3,4,1.1,35,25,0,22,2040,Inf +20% HP,Yes
Mongols,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Celts,Halberdier,60,10,0.333,3,4,1.2,35,25,0,22,1940,"Infantry +5% speed, Infantry +10% speed, Infantry +15% speed, Infantry +20% speed",Yes
Spanish,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Aztecs,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Mayans,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Huns,Halberdier,60,10,0.333,2,2,1.1,35,25,0,22,1590,-,Yes
Koreans,Halberdier,60,8,0.333,3,4,1.1,35,12,0,22,1540,Units cost less wood,Yes
Italians,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Hindustanis,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Incas,Halberdier,60,10,0.333,3,4,1.1,26,25,0,22,2040,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Halberdier,60,10,0.333,2,2,1.0,35,25,0,22,1490,-,Yes
Slavs,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Portuguese,Halberdier,60,10,0.333,3,4,1.0,35,25,0,22,1940,All units -20% gold,Yes
Ethiopians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Malians,Pikeman,55,6,0.333,3,7,1.1,35,25,0,22,1540,"inf +1 armor feudal, inf +1 armor castle, inf +1 armor imp",Yes
Berbers,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Khmer,Halberdier,60,10,0.333,2,2,1.0,35,25,0,22,1490,-,Yes
Malay,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Burmese,Halberdier,60,13,0.333,3,4,1.1,35,25,0,22,2040,"inf +1 attack feudal, inf +1 attack castle, inf +1 attack imp",Yes
Vietnamese,Halberdier,60,8,0.333,3,4,1.1,35,25,0,22,1540,-,Yes
Bulgarians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Tatars,Halberdier,60,10,0.333,1,1,1.1,35,25,0,22,1290,-,Yes
Cumans,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Lithuanians,Halberdier,60,8,0.333,2,2,1.21,35,25,0,22,1090,Skirms Pikes 10% faster,Yes
Burgundians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Sicilians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,Bonus damage resistance,Yes
Poles,Pikeman,55,8,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Bohemians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,Bonus damage increase,Yes
Dravidians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Bengalis,Halberdier,60,10,0.333,2,2,1.1,35,25,0,22,1590,-,Yes
Gurjaras,Pikeman,55,6,0.333,3,4,1.0,35,25,0,22,1440,-,Yes
Romans,Halberdier,60,10,0.333,5,6,1.1,35,25,0,22,1490,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Georgians,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,-,Yes
Shu,Halberdier,60,7,0.333,3,4,1.1,35,25,0,22,1200,-,Yes
Wu,Halberdier,60,10,0.333,3,4,1.1,35,25,0,22,2040,"inf regen Feudal, inf regen Castle, inf regen Imp",Yes
Wei,Halberdier,60,10,0.333,2,2,1.1,35,25,0,22,1590,-,Yes
Jurchens,Halberdier,60,10,0.333,2,2,1.1,35,25,0,22,1590,No friendly damage,Yes
Khitans,Pikeman,55,10,0.333,3,4,1.1,35,25,0,18,1540,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
