Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Hand Cannoneer,,,,,,,,,,,,,,No
Franks,Hand Cannoneer,40,17,7.0,0.29,3,2,0.96,45,0,50,34,400,-,Yes
Goths,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Teutons,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Japanese,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Chinese,Hand Cannoneer,,,,,,,,,,,,,,No
Byzantines,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Persians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Saracens,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Turks,Hand Cannoneer,50,17,7.0,0.29,4,4,0.96,45,0,50,34,900,Gunpowder +25% HP,Yes
Vikings,Hand Cannoneer,,,,,,,,,,,,,,No
Mongols,Hand Cannoneer,,,,,,,,,,,,,,No
Celts,Hand Cannoneer,,,,,,,,,,,,,,No
Spanish,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Aztecs,Hand Cannoneer,,,,,,,,,,,,,,No
Mayans,Hand Cannoneer,,,,,,,,,,,,,,No
Huns,Hand Cannoneer,,,,,,,,,,,,,,No
Koreans,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Italians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,36,0,40,34,900,Gunpowder -20% cheaper,Yes
Hindustanis,Hand Cannoneer,40,17,7.0,0.29,5,5,0.96,45,0,50,34,900,Gunpowder armor,Yes
Incas,Hand Cannoneer,,,,,,,,,,,,,,No
Magyars,Hand Cannoneer,,,,,,,,,,,,,,No
Slavs,Hand Cannoneer,,,,,,,,,,,,,,No
Portuguese,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,40,34,900,All units -20% gold,Yes
Ethiopians,Hand Cannoneer,,,,,,,,,,,,,,No
Malians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Berbers,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Khmer,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Malay,Hand Cannoneer,,,,,,,,,,,,,,No
Burmese,Hand Cannoneer,,,,,,,,,,,,,,No
Vietnamese,Hand Cannoneer,,,,,,,,,,,,,,No
Bulgarians,Hand Cannoneer,,,,,,,,,,,,,,No
Tatars,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Cumans,Hand Cannoneer,,,,,,,,,,,,,,No
Lithuanians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Burgundians,Hand Cannoneer,40,17,7.0,0.29,3,2,0.96,45,0,50,34,400,Gunpowder units +25% attack,Yes
Sicilians,Hand Cannoneer,,,,,,,,,,,,,,No
Poles,Hand Cannoneer,,,,,,,,,,,,,,No
Bohemians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Dravidians,Hand Cannoneer,40,17,7.0,0.29,4,4,0.96,45,0,50,34,900,-,Yes
Bengalis,Hand Cannoneer,,,,,,,,,,,,,,No
Gurjaras,Hand Cannoneer,40,17,7.0,0.29,3,2,0.96,45,0,50,34,400,-,Yes
Romans,Hand Cannoneer,,,,,,,,,,,,,,No
Armenians,Hand Cannoneer,,,,,,,,,,,,,,No
Georgians,Hand Cannoneer,40,17,7.0,0.29,3,2,0.96,45,0,50,34,400,-,Yes
Shu,Hand Cannoneer,,,,,,,,,,,,,,No
Wu,Hand Cannoneer,,,,,,,,,,,,,,No
Wei,Hand Cannoneer,,,,,,,,,,,,,,No
Jurchens,Hand Cannoneer,,,,,,,,,,,,,,No
Khitans,Hand Cannoneer,,,,,,,,,,,,,,No
