Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Franks,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Goths,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Teutons,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Japanese,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Chinese,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Byzantines,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Persians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Saracens,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Turks,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Vikings,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Mongols,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Celts,Heavy Scorpion,60,14,7.0,0.347,1,8,0.65,0,75,75,30,0,Siege fire rate,Yes
Spanish,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Aztecs,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Mayans,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Huns,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Koreans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Italians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Hindustanis,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Incas,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Magyars,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Slavs,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,64,64,30,0,Siege Units Cheaper,Yes
Portuguese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,60,30,0,All units -20% gold,Yes
Ethiopians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Malians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Berbers,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Khmer,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Malay,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Burmese,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Vietnamese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Bulgarians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Tatars,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Cumans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Lithuanians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Burgundians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Sicilians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Poles,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Bohemians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Dravidians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,50,75,30,0,Siege wood discount,Yes
Bengalis,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Gurjaras,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Romans,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,38,30,0,Cheaper scorpions,Yes
Armenians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Georgians,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Shu,Scorpion,40,11,7.0,0.278,0,7,0.75,0,75,75,30,0,"Siege +10% movement, Siege +15% movement",Yes
Wu,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Wei,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,-,Yes
Jurchens,Heavy Scorpion,60,14,7.0,0.278,1,8,0.65,0,75,75,30,0,No friendly damage,Yes
Khitans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
