Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,1850,"+1 Archer range, archer range +1",Yes
Franks,Imperial Skirmisher,35,4,7.0,0.333,2,7,0.96,25,35,0,22,850,-,Yes
Goths,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,1850,-,Yes
Teutons,Imperial Skirmisher,35,4,7.0,0.333,3,9,0.96,25,35,0,22,1350,-,Yes
Japanese,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Chinese,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Byzantines,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,19,26,0,22,2400,Skirms Pikes cost -25%,Yes
Persians,Imperial Skirmisher,35,4,7.0,0.333,3,9,0.96,25,35,0,22,1900,-,Yes
Saracens,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Turks,Elite Skirmisher,35,3,8.0,0.333,3,8,0.96,25,35,0,22,2400,-,Yes
Vikings,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,1850,-,Yes
Mongols,Imperial Skirmisher,35,4,8.0,0.333,2,7,0.96,25,35,0,22,1900,-,Yes
Celts,Imperial Skirmisher,35,4,7.0,0.333,3,9,0.96,25,35,0,22,1350,-,Yes
Spanish,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Aztecs,Imperial Skirmisher,35,4,8.0,0.333,2,7,0.96,25,35,0,22,1350,-,Yes
Mayans,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Huns,Imperial Skirmisher,35,4,8.0,0.333,2,7,0.96,25,35,0,22,1900,-,Yes
Koreans,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,18,0,22,2400,Units cost less wood,Yes
Italians,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,Archers +1/+1 armor,Yes
Hindustanis,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Incas,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,19,35,0,22,2400,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,-,Yes
Slavs,Imperial Skirmisher,35,4,7.0,0.333,3,9,0.96,25,35,0,22,1350,-,Yes
Portuguese,Imperial Skirmisher,35,4,8.0,0.333,3,9,0.96,25,35,0,22,2400,All units -20% gold,Yes
