Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Franks,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Goths,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Teutons,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Japanese,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Chinese,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Byzantines,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Persians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Saracens,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Turks,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Vikings,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Mongols,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Celts,Siege Onager,70,75,8.0,0.208,0,8,0.6,0,160,135,46,0,Siege fire rate,Yes
Spanish,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Aztecs,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Mayans,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Huns,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Koreans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
Italians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Hindustanis,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Incas,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Magyars,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Slavs,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,136,115,46,0,Siege Units Cheaper,Yes
Portuguese,Onager,60,50,8.0,0.167,0,7,0.6,0,160,108,46,0,All units -20% gold,Yes
Ethiopians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Malians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Berbers,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Khmer,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Malay,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Burmese,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Vietnamese,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Bulgarians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Tatars,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Cumans,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Lithuanians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Burgundians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Sicilians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Poles,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Bohemians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Dravidians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,107,135,46,0,Siege wood discount,Yes
Bengalis,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Gurjaras,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Romans,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Armenians,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Georgians,Siege Onager,70,75,8.0,0.167,0,8,0.6,0,160,135,46,0,-,Yes
Shu,Onager,60,50,8.0,0.167,0,7,0.69,0,160,135,46,0,"Siege +10% movement, Siege +15% movement",Yes
Wu,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Wei,Onager,60,50,8.0,0.167,0,7,0.6,0,160,135,46,0,-,Yes
Jurchens,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,No friendly damage,Yes
Khitans,Mangonel,50,40,7.0,0.167,0,6,0.6,0,160,135,46,0,-,Yes
