Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Franks,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Goths,Trebuchet,,,,,,,,,,,,,,No
Teutons,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Japanese,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Chinese,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Byzantines,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Persians,Trebuchet,,,,,,,,,,,,,,No
Saracens,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Turks,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Vikings,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Mongols,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Celts,Trebuchet,150,200,16.0,0.125,1,150,0.0,0,200,200,50,0,Siege fire rate,Yes
Spanish,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Aztecs,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Mayans,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Huns,Trebuchet,,,,,,,,,,,,,,No
Koreans,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Italians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Hindustanis,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Incas,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Magyars,Trebuchet,,,,,,,,,,,,,,No
Slavs,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Portuguese,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,160,50,0,All units -20% gold,Yes
Ethiopians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Malians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Berbers,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Khmer,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Malay,Trebuchet,,,,,,,,,,,,,,No
Burmese,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Vietnamese,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Bulgarians,Trebuchet,,,,,,,,,,,,,,No
Tatars,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Cumans,Trebuchet,,,,,,,,,,,,,,No
Lithuanians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Burgundians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Sicilians,Trebuchet,,,,,,,,,,,,,,No
Poles,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Bohemians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Dravidians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,133,200,50,0,Siege wood discount,Yes
Bengalis,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Gurjaras,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Romans,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Armenians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Georgians,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Shu,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,"Siege +10% movement, Siege +15% movement",Yes
Wu,Trebuchet,,,,,,,,,,,,,,No
Wei,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
Jurchens,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,No friendly damage,Yes
Khitans,Trebuchet,150,200,16.0,0.1,1,150,0.0,0,200,200,50,0,-,Yes
