Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Franks,Light Cavalry,72,9,0.5,2,4,1.65,80,0,0,30,1190,Cavalry +20% HP,Yes
Goths,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Teutons,Light Cavalry,80,9,0.5,3,4,1.5,80,0,0,30,1290,Inf Cav +1 armor Age3,Yes
Japanese,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Chinese,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Byzantines,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Persians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Saracens,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Turks,Light Cavalry,80,9,0.5,2,5,1.65,80,0,0,30,1440,Light cavalry +1P armor,Yes
Vikings,Light Cavalry,60,9,0.5,2,4,1.5,80,0,0,30,1040,-,Yes
Mongols,Light Cavalry,102,9,0.5,2,4,1.65,80,0,0,30,1440,"Light Cavalry +20% HP + BL, Light Cavalry +20% HP",Yes
Celts,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Spanish,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Aztecs,Light Cavalry,60,9,0.5,0,2,1.5,80,0,0,30,490,-,Yes
Mayans,Light Cavalry,60,9,0.5,0,2,1.5,80,0,0,30,490,-,Yes
Huns,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Koreans,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Italians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Hindustanis,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Incas,Light Cavalry,60,9,0.5,0,2,1.5,64,0,0,30,490,"Military cost -10%, Military cost -15%, Military cost -20%",Yes
Magyars,Light Cavalry,80,9,0.5,2,4,1.65,68,0,0,30,1440,C-Bonus Lcav Cheaper,Yes
Slavs,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Portuguese,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,All units -20% gold,Yes
Ethiopians,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Malians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Berbers,Light Cavalry,80,9,0.5,2,4,1.65,68,0,0,30,1440,Stable units -15% che,Yes
Khmer,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Malay,Light Cavalry,60,9,0.5,1,3,1.65,80,0,0,30,790,-,Yes
Burmese,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Vietnamese,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Bulgarians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Tatars,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Cumans,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1290,"Cavalry +5% speed Age2, Cavalry +5% speed Age3",Yes
Lithuanians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Burgundians,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Sicilians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,Bonus damage resistance,Yes
Poles,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Bohemians,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Dravidians,Light Cavalry,60,9,0.5,2,4,1.65,80,0,0,30,1190,-,Yes
Bengalis,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,Cavalry vs Skirm,Yes
Gurjaras,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,"+20% Cav bonus damage, +30% Cav bonus damage",Yes
Romans,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Armenians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Georgians,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,"Cavalry regeneration age2, Cavalry regeneration age3",Yes
Shu,Light Cavalry,60,8,0.5,2,4,1.65,80,0,0,30,850,-,Yes
Wu,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Wei,Light Cavalry,80,9,0.5,2,4,1.65,80,0,0,30,1440,-,Yes
Jurchens,Light Cavalry,80,9,0.625,2,4,1.65,80,0,0,30,1440,"cav & Fire Lancer +25% attack, No friendly damage",Yes
Khitans,Light Cavalry,60,13,0.5,2,4,1.65,80,0,0,24,1190,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
