Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Camel Rider,,,,,,,,,,,,,No
Franks,Camel Rider,,,,,,,,,,,,,No
Goths,Camel Rider,,,,,,,,,,,,,No
Teutons,Camel Rider,,,,,,,,,,,,,No
Japanese,Camel Rider,,,,,,,,,,,,,No
Chinese,Camel Rider,,,,,,,,,,,,,No
Byzantines,Camel Rider,100,8,0.5,2,2,1.6,41,0,45,22,1190,Skirms Pikes cost -25%,Yes
Persians,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,-,Yes
Saracens,Camel Rider,145,8,0.5,2,2,1.6,55,0,60,22,1440,Camels +25% HP,Yes
Turks,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,-,Yes
Vikings,Camel Rider,,,,,,,,,,,,,No
Mongols,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,-,Yes
Celts,Camel Rider,,,,,,,,,,,,,No
Spanish,Camel Rider,,,,,,,,,,,,,No
Aztecs,Camel Rider,,,,,,,,,,,,,No
Mayans,Camel Rider,,,,,,,,,,,,,No
Huns,Camel Rider,,,,,,,,,,,,,No
Koreans,Camel Rider,,,,,,,,,,,,,No
Italians,Camel Rider,,,,,,,,,,,,,No
Hindustanis,Camel Rider,120,8,0.6,2,2,1.6,55,0,60,22,1440,Camel Rider attack speed,Yes
Incas,Camel Rider,,,,,,,,,,,,,No
Magyars,Camel Rider,,,,,,,,,,,,,No
Slavs,Camel Rider,,,,,,,,,,,,,No
Portuguese,Camel Rider,,,,,,,,,,,,,No
Ethiopians,Camel Rider,100,8,0.5,2,2,1.6,55,0,60,22,1190,-,Yes
Malians,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,-,Yes
Berbers,Camel Rider,120,8,0.5,2,2,1.6,47,0,51,22,1440,Stable units -15% che,Yes
Khmer,Camel Rider,,,,,,,,,,,,,No
Malay,Camel Rider,,,,,,,,,,,,,No
Burmese,Camel Rider,,,,,,,,,,,,,No
Vietnamese,Camel Rider,,,,,,,,,,,,,No
Bulgarians,Camel Rider,,,,,,,,,,,,,No
Tatars,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,-,Yes
Cumans,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1290,"Cavalry +5% speed Age2, Cavalry +5% speed Age3",Yes
Lithuanians,Camel Rider,,,,,,,,,,,,,No
Burgundians,Camel Rider,,,,,,,,,,,,,No
Sicilians,Camel Rider,,,,,,,,,,,,,No
Poles,Camel Rider,,,,,,,,,,,,,No
Bohemians,Camel Rider,,,,,,,,,,,,,No
Dravidians,Camel Rider,,,,,,,,,,,,,No
Bengalis,Camel Rider,,,,,,,,,,,,,No
Gurjaras,Camel Rider,120,8,0.5,2,2,1.6,55,0,60,22,1440,"+20% Cav bonus damage, +30% Cav bonus damage",Yes
Romans,Camel Rider,,,,,,,,,,,,,No
Armenians,Camel Rider,,,,,,,,,,,,,No
Georgians,Camel Rider,,,,,,,,,,,,,No
Shu,Camel Rider,,,,,,,,,,,,,No
Wu,Camel Rider,,,,,,,,,,,,,No
Wei,Camel Rider,,,,,,,,,,,,,No
Jurchens,Camel Rider,,,,,,,,,,,,,No
Khitans,Camel Rider,100,12,0.5,2,2,1.6,55,0,60,22,1190,"Double Forging, Double Iron Casting, Double Blast Furnace",Yes
