Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Cavalry Archer,50,6,6.0,0.5,2,2,1.54,0,40,60,37,1000,-,Yes
Franks,Cavalry Archer,60,6,6.0,0.5,2,2,1.54,0,40,60,37,1000,Cavalry +20% HP,Yes
Goths,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Teutons,Cavalry Archer,70,6,6.0,0.5,2,2,1.4,0,40,60,37,1100,-,Yes
Japanese,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,CA vs Archers,Yes
Chinese,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Byzantines,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,40,60,37,1550,-,Yes
Persians,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Saracens,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Turks,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Vikings,Cavalry Archer,50,6,6.0,0.5,2,2,1.4,0,40,60,37,850,-,Yes
Mongols,Cavalry Archer,70,6,6.0,0.694,2,2,1.54,0,40,60,37,1800,None,Yes
Celts,Cavalry Archer,50,6,6.0,0.5,2,2,1.54,0,40,60,37,1000,-,Yes
Spanish,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Aztecs,Cavalry Archer,,,,,,,,,,,,,,No
Mayans,Cavalry Archer,,,,,,,,,,,,,,No
Huns,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,36,54,37,1800,35% CA,Yes
Koreans,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,20,60,37,1550,Units cost less wood,Yes
Italians,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Hindustanis,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Incas,Cavalry Archer,,,,,,,,,,,,,,No
Magyars,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Slavs,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Portuguese,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,48,37,1800,All units -20% gold,Yes
Ethiopians,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,40,60,37,1550,-,Yes
Malians,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Berbers,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Khmer,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Malay,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,40,60,37,1550,-,Yes
Burmese,Cavalry Archer,70,6,6.0,0.5,1,1,1.54,0,40,60,37,950,-,Yes
Vietnamese,Cavalry Archer,80,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,Archers +20% HP,Yes
Bulgarians,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Tatars,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Cumans,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1650,"Cavalry +5% speed Age2, Cavalry +5% speed Age3",Yes
Lithuanians,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Burgundians,Cavalry Archer,50,6,6.0,0.5,2,2,1.54,0,40,60,37,1000,-,Yes
Sicilians,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,Bonus damage resistance,Yes
Poles,Cavalry Archer,70,6,6.0,0.556,2,2,1.54,0,40,60,37,1800,-,Yes
Bohemians,Cavalry Archer,,,,,,,,,,,,,,No
Dravidians,Cavalry Archer,,,,,,,,,,,,,,No
Bengalis,Cavalry Archer,,,,,,,,,,,,,,No
Gurjaras,Cavalry Archer,,,,,,,,,,,,,,No
Romans,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Armenians,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Georgians,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,"Cavalry regeneration age2, Cavalry regeneration age3",Yes
Shu,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,40,60,37,1550,-,Yes
Wu,Cavalry Archer,70,6,6.0,0.5,2,2,1.54,0,40,60,37,1250,-,Yes
Wei,Cavalry Archer,,,,,,,,,,,,,,No
Jurchens,Cavalry Archer,70,6,6.0,0.625,2,2,1.54,0,40,60,37,1250,"cav & Fire Lancer +25% attack, No friendly damage",Yes
Khitans,Cavalry Archer,50,6,6.0,0.556,2,2,1.54,0,40,60,37,1550,-,Yes
