Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Battle Elephant,,,,,,,,,,,,,No
Franks,Battle Elephant,,,,,,,,,,,,,No
Goths,Battle Elephant,,,,,,,,,,,,,No
Teutons,Battle Elephant,,,,,,,,,,,,,No
Japanese,Battle Elephant,,,,,,,,,,,,,No
Chinese,Battle Elephant,,,,,,,,,,,,,No
Byzantines,Battle Elephant,,,,,,,,,,,,,No
Persians,Battle Elephant,,,,,,,,,,,,,No
Saracens,Battle Elephant,,,,,,,,,,,,,No
Turks,Battle Elephant,,,,,,,,,,,,,No
Vikings,Battle Elephant,,,,,,,,,,,,,No
Mongols,Battle Elephant,,,,,,,,,,,,,No
Celts,Battle Elephant,,,,,,,,,,,,,No
Spanish,Battle Elephant,,,,,,,,,,,,,No
Aztecs,Battle Elephant,,,,,,,,,,,,,No
Mayans,Battle Elephant,,,,,,,,,,,,,No
Huns,Battle Elephant,,,,,,,,,,,,,No
Koreans,Battle Elephant,,,,,,,,,,,,,No
Italians,Battle Elephant,,,,,,,,,,,,,No
Hindustanis,Battle Elephant,270,14,0.5,3,4,0.99,100,0,70,24,1440,-,Yes
Incas,Battle Elephant,,,,,,,,,,,,,No
Magyars,Battle Elephant,,,,,,,,,,,,,No
Slavs,Battle Elephant,,,,,,,,,,,,,No
Portuguese,Battle Elephant,,,,,,,,,,,,,No
Ethiopians,Battle Elephant,,,,,,,,,,,,,No
Malians,Battle Elephant,,,,,,,,,,,,,No
Berbers,Battle Elephant,,,,,,,,,,,,,No
Khmer,Battle Elephant,270,14,0.5,3,4,1.09,100,0,70,24,1440,Battle Ele 10% faster,Yes
Malay,Battle Elephant,250,14,0.5,2,3,0.99,75,0,52,24,790,Battle Ele 25% cheaper,Yes
Burmese,Battle Elephant,270,14,0.5,4,5,0.99,100,0,70,24,1440,Battle Elephant armor,Yes
Vietnamese,Battle Elephant,270,14,0.5,3,4,0.99,100,0,70,24,1440,-,Yes
Bulgarians,Battle Elephant,,,,,,,,,,,,,No
Tatars,Battle Elephant,,,,,,,,,,,,,No
Cumans,Battle Elephant,,,,,,,,,,,,,No
Lithuanians,Battle Elephant,,,,,,,,,,,,,No
Burgundians,Battle Elephant,,,,,,,,,,,,,No
Sicilians,Battle Elephant,,,,,,,,,,,,,No
Poles,Battle Elephant,,,,,,,,,,,,,No
Bohemians,Battle Elephant,,,,,,,,,,,,,No
Dravidians,Battle Elephant,250,14,0.5,3,4,0.99,100,0,70,24,1190,-,Yes
Bengalis,Battle Elephant,270,14,0.5,3,4,0.99,100,0,70,24,1440,"Elephant resistance, Cavalry vs Skirm",Yes
Gurjaras,Battle Elephant,,,,,,,,,,,,,No
Romans,Battle Elephant,,,,,,,,,,,,,No
Armenians,Battle Elephant,,,,,,,,,,,,,No
Georgians,Battle Elephant,,,,,,,,,,,,,No
Shu,Battle Elephant,,,,,,,,,,,,,No
Wu,Battle Elephant,,,,,,,,,,,,,No
Wei,Battle Elephant,,,,,,,,,,,,,No
Jurchens,Battle Elephant,,,,,,,,,,,,,No
Khitans,Battle Elephant,,,,,,,,,,,,,No
