Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Franks,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Goths,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Teutons,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Japanese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Chinese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Byzantines,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Persians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Saracens,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Turks,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Vikings,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Mongols,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Celts,Scorpion,40,11,7.0,0.347,0,7,0.65,0,75,75,30,0,Siege fire rate,Yes
Spanish,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Aztecs,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Mayans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Huns,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Koreans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Italians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Hindustanis,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Incas,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Magyars,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Slavs,Scorpion,40,11,7.0,0.278,0,7,0.65,0,64,64,30,0,Siege Units Cheaper,Yes
Portuguese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,60,30,0,All units -20% gold,Yes
Ethiopians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Malians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Berbers,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Khmer,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Malay,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Burmese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Vietnamese,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Bulgarians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Tatars,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Cumans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Lithuanians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Burgundians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Sicilians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Poles,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Bohemians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Dravidians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,50,75,30,0,Siege wood discount,Yes
Bengalis,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Gurjaras,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Romans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,38,30,0,Cheaper scorpions,Yes
Armenians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Georgians,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Shu,Scorpion,40,11,7.0,0.278,0,7,0.72,0,75,75,30,0,Siege +10% movement,Yes
Wu,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Wei,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
Jurchens,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,No friendly damage,Yes
Khitans,Scorpion,40,11,7.0,0.278,0,7,0.65,0,75,75,30,0,-,Yes
