Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Franks,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Goths,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Teutons,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Japanese,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Chinese,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Byzantines,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Persians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Saracens,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Turks,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Vikings,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Mongols,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Celts,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Spanish,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Aztecs,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Mayans,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Huns,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Koreans,Archer,30,4,5.0,0.5,1,1,0.96,0,12,45,35,250,Units cost less wood,Yes
Italians,Archer,30,4,5.0,0.5,2,2,0.96,0,25,45,35,250,Archers +1/+1 armor,Yes
Hindustanis,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Incas,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,"Military cost -10%, Military cost -15%",Yes
Magyars,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Slavs,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Portuguese,Archer,30,4,5.0,0.5,1,1,0.96,0,25,36,35,250,All units -20% gold,Yes
Ethiopians,Archer,30,4,5.0,0.588,1,1,0.96,0,25,45,35,250,Archers fire +15% fas,Yes
Malians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Berbers,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Khmer,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Malay,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Burmese,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Vietnamese,Archer,36,4,5.0,0.5,1,1,0.96,0,25,45,35,250,Archers +20% HP,Yes
Bulgarians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Tatars,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Cumans,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Lithuanians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Burgundians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Sicilians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,Bonus damage resistance,Yes
Poles,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Bohemians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Dravidians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Bengalis,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Gurjaras,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Romans,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Armenians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Georgians,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Shu,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Wu,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Wei,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
Jurchens,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,No friendly damage,Yes
Khitans,Archer,30,4,5.0,0.5,1,1,0.96,0,25,45,35,250,-,Yes
