Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Franks,Scout Cavalry,54,4,0.5,1,3,1.2,80,0,0,30,300,Cavalry +20% HP,Yes
Goths,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Teutons,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Japanese,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Chinese,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Byzantines,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Persians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Saracens,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Turks,Scout Cavalry,65,4,0.5,1,4,1.2,80,0,0,30,550,Light cavalry +1P armor,Yes
Vikings,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Mongols,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Celts,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Spanish,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Aztecs,Scout Cavalry,45,4,0.5,0,2,1.2,80,0,0,30,150,-,Yes
Mayans,Scout Cavalry,45,4,0.5,0,2,1.2,80,0,0,30,150,-,Yes
Huns,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Koreans,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Italians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Hindustanis,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Incas,Scout Cavalry,45,4,0.5,0,2,1.2,68,0,0,30,150,"Military cost -10%, Military cost -15%",Yes
Magyars,Scout Cavalry,65,4,0.5,1,3,1.2,68,0,0,30,550,C-Bonus Lcav Cheaper,Yes
Slavs,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Portuguese,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Ethiopians,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Malians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Berbers,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Khmer,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Malay,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Burmese,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Vietnamese,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Bulgarians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Tatars,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Cumans,Scout Cavalry,65,4,0.5,1,3,1.26,80,0,0,30,550,Cavalry +5% speed Age2,Yes
Lithuanians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Burgundians,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Sicilians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,Bonus damage resistance,Yes
Poles,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Bohemians,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Dravidians,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Bengalis,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,Cavalry vs Skirm,Yes
Gurjaras,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,+20% Cav bonus damage,Yes
Romans,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Armenians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Georgians,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,Cavalry regeneration age2,Yes
Shu,Scout Cavalry,45,4,0.5,1,3,1.2,80,0,0,30,300,-,Yes
Wu,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Wei,Scout Cavalry,65,4,0.5,1,3,1.2,80,0,0,30,550,-,Yes
Jurchens,Scout Cavalry,65,4,0.625,1,3,1.2,80,0,0,30,550,"cav & Fire Lancer +25% attack, No friendly damage",Yes
Khitans,Scout Cavalry,45,8,0.5,1,3,1.2,80,0,0,24,300,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
