Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Franks,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Goths,Spearman,45,4,0.333,1,1,1.0,28,20,0,22,250,"Inf v Building Age2, Infantry Cost -15%, Infantry Cost -20%",Yes
Teutons,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Japanese,Spearman,45,4,0.444,1,1,1.0,35,25,0,22,350,Inf Attack Spd,Yes
Chinese,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Byzantines,Spearman,45,4,0.333,1,1,1.0,26,19,0,22,350,Skirms Pikes cost -25%,Yes
Persians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Saracens,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Turks,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Vikings,Spearman,54,4,0.333,1,1,1.0,35,25,0,22,350,Inf +20% HP,Yes
Mongols,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Celts,Spearman,45,4,0.333,1,1,1.1,35,25,0,22,350,"Infantry +5% speed, Infantry +10% speed",Yes
Spanish,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Aztecs,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Mayans,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Huns,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Koreans,Spearman,45,4,0.333,1,1,1.0,35,12,0,22,350,Units cost less wood,Yes
Italians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Hindustanis,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Incas,Spearman,45,4,0.333,1,1,1.0,30,25,0,22,350,"Military cost -10%, Military cost -15%",Yes
Magyars,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Slavs,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Portuguese,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,All units -20% gold,Yes
Ethiopians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Malians,Spearman,45,4,0.333,1,2,1.0,35,25,0,22,350,inf +1 armor feudal,Yes
Berbers,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Khmer,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Malay,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Burmese,Spearman,45,5,0.333,1,1,1.0,35,25,0,22,350,inf +1 attack feudal,Yes
Vietnamese,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bulgarians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Tatars,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Cumans,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Lithuanians,Spearman,45,4,0.333,1,1,1.1,35,25,0,22,350,Skirms Pikes 10% faster,Yes
Burgundians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Sicilians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,Bonus damage resistance,Yes
Poles,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bohemians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,Bonus damage increase,Yes
Dravidians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Bengalis,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Gurjaras,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Romans,Spearman,45,4,0.333,4,5,1.0,35,25,0,22,250,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Georgians,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Shu,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Wu,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,inf regen Feudal,Yes
Wei,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,-,Yes
Jurchens,Spearman,45,4,0.333,1,1,1.0,35,25,0,22,350,No friendly damage,Yes
Khitans,Spearman,45,8,0.333,1,1,1.0,35,25,0,18,350,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
