Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Franks,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Goths,Champion,70,21,0.5,3,3,1.06,35,0,14,21,1890,"Inf v Building Age2, Inf v Building Age3, Inf v Building Age4, Infantry Cost -15%, Infantry Cost -20%, Infantry Cost -25%, Infantry Cost -30%",Yes
Teutons,Champion,70,21,0.5,6,6,1.06,50,0,20,21,2740,"Inf Cav +1 armor Age3, Inf Cav +1 armor Age4",Yes
Japanese,Champion,70,21,0.667,4,6,1.06,50,0,20,21,2740,Inf Attack Spd,Yes
Chinese,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2440,-,Yes
Byzantines,Champion,70,19,0.5,4,6,1.06,50,0,20,21,2240,-,Yes
Persians,Long Swordsman,75,11,0.5,3,4,1.05,65,0,25,35,2040,-,Yes
Saracens,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Turks,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Vikings,Champion,84,21,0.5,4,6,1.06,50,0,20,21,2740,Inf +20% HP,Yes
Mongols,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2440,-,Yes
Celts,Champion,70,21,0.5,4,6,1.15,50,0,20,21,2640,"Infantry +5% speed, Infantry +10% speed, Infantry +15% speed, Infantry +20% speed",Yes
Spanish,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Aztecs,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Mayans,Two-Handed Swordsman,65,19,0.5,4,5,1.06,50,0,20,21,2440,-,Yes
Huns,Two-Handed Swordsman,65,19,0.5,3,3,1.06,50,0,20,21,1990,-,Yes
Koreans,Champion,70,19,0.5,4,6,1.06,50,0,20,21,2240,Units cost less wood,Yes
Italians,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Hindustanis,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Incas,Champion,70,21,0.5,4,5,1.06,37,0,20,21,2440,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Champion,70,21,0.5,3,3,0.96,50,0,20,21,2040,-,Yes
Slavs,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Portuguese,Champion,70,21,0.5,4,6,0.96,50,0,16,21,2640,All units -20% gold,Yes
Ethiopians,Two-Handed Swordsman,65,19,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Malians,Champion,70,19,0.5,4,8,1.06,50,0,20,21,2090,"inf +1 armor feudal, inf +1 armor castle, inf +1 armor imp",Yes
Berbers,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Khmer,Two-Handed Swordsman,65,19,0.5,3,3,0.96,50,0,20,21,1890,-,Yes
Malay,Two-Handed Swordsman,65,19,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Burmese,Champion,70,24,0.5,4,6,1.06,50,0,20,21,2740,"inf +1 attack feudal, inf +1 attack castle, inf +1 attack imp",Yes
Vietnamese,Champion,70,19,0.5,4,5,1.06,50,0,20,21,2090,-,Yes
Bulgarians,Two-Handed Swordsman,65,19,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Tatars,Two-Handed Swordsman,65,19,0.5,2,2,1.06,50,0,20,21,1690,-,Yes
Cumans,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2440,-,Yes
Lithuanians,Champion,70,19,0.5,3,3,1.06,50,0,20,21,1490,-,Yes
Burgundians,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2440,-,Yes
Sicilians,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,Bonus damage resistance,Yes
Poles,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Bohemians,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,-,Yes
Dravidians,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Bengalis,Champion,70,21,0.5,3,4,1.06,50,0,20,21,2290,-,Yes
Gurjaras,Two-Handed Swordsman,65,17,0.5,4,5,0.96,50,0,20,21,1990,-,Yes
Romans,Long Swordsman,75,11,0.5,5,6,1.05,65,0,25,35,1490,"Double Scale Mail, Double Chain Mail, Double Plate Mail",Yes
Armenians,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Georgians,Champion,70,21,0.5,4,6,1.06,50,0,20,21,2740,-,Yes
Shu,Champion,70,18,0.5,4,6,1.06,50,0,20,21,1900,-,Yes
Wu,Champion,70,21,0.5,4,5,1.06,50,0,20,21,2590,"inf regen Feudal, inf regen Castle, inf regen Imp",Yes
Wei,Two-Handed Swordsman,65,19,0.5,3,3,1.06,50,0,20,21,1990,-,Yes
Jurchens,Long Swordsman,75,11,0.5,2,2,1.05,65,0,25,35,1590,No friendly damage,Yes
Khitans,Champion,70,23,0.5,4,6,1.06,50,0,20,21,2240,"Double Forging, Double Iron Casting, Double Blast Furnace",Yes
