Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Eagle Warrior,,,,,,,,,,,,,No
Franks,Eagle Warrior,,,,,,,,,,,,,No
Goths,Eagle Warrior,,,,,,,,,,,,,No
Teutons,Eagle Warrior,,,,,,,,,,,,,No
Japanese,Eagle Warrior,,,,,,,,,,,,,No
Chinese,Eagle Warrior,,,,,,,,,,,,,No
Byzantines,Eagle Warrior,,,,,,,,,,,,,No
Persians,Eagle Warrior,,,,,,,,,,,,,No
Saracens,Eagle Warrior,,,,,,,,,,,,,No
Turks,Eagle Warrior,,,,,,,,,,,,,No
Vikings,Eagle Warrior,,,,,,,,,,,,,No
Mongols,Eagle Warrior,,,,,,,,,,,,,No
Celts,Eagle Warrior,,,,,,,,,,,,,No
Spanish,Eagle Warrior,,,,,,,,,,,,,No
Aztecs,Elite Eagle Warrior,60,13,0.5,3,8,1.43,20,0,50,20,2040,-,Yes
Mayans,Elite Eagle Warrior,60,13,0.5,3,8,1.43,20,0,50,20,2040,-,Yes
Huns,Eagle Warrior,,,,,,,,,,,,,No
Koreans,Eagle Warrior,,,,,,,,,,,,,No
Italians,Eagle Warrior,,,,,,,,,,,,,No
Hindustanis,Elite Eagle Warrior,60,13,0.5,3,8,1.43,20,0,50,20,2040,-,Yes
Incas,Elite Eagle Warrior,60,13,0.5,3,8,1.43,15,0,50,20,2040,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Eagle Warrior,,,,,,,,,,,,,No
Slavs,Eagle Warrior,,,,,,,,,,,,,No
Portuguese,Eagle Warrior,,,,,,,,,,,,,No
Ethiopians,Eagle Warrior,,,,,,,,,,,,,No
Malians,Eagle Warrior,,,,,,,,,,,,,No
Berbers,Eagle Warrior,,,,,,,,,,,,,No
Khmer,Eagle Warrior,,,,,,,,,,,,,No
Malay,Eagle Warrior,,,,,,,,,,,,,No
Burmese,Eagle Warrior,,,,,,,,,,,,,No
Vietnamese,Eagle Warrior,,,,,,,,,,,,,No
Bulgarians,Eagle Warrior,,,,,,,,,,,,,No
Tatars,Eagle Warrior,,,,,,,,,,,,,No
Cumans,Eagle Warrior,,,,,,,,,,,,,No
Lithuanians,Eagle Warrior,,,,,,,,,,,,,No
Burgundians,Eagle Warrior,,,,,,,,,,,,,No
Sicilians,Eagle Warrior,,,,,,,,,,,,,No
Poles,Eagle Warrior,,,,,,,,,,,,,No
Bohemians,Eagle Warrior,,,,,,,,,,,,,No
Dravidians,Eagle Warrior,,,,,,,,,,,,,No
Bengalis,Eagle Warrior,,,,,,,,,,,,,No
Gurjaras,Eagle Warrior,,,,,,,,,,,,,No
Romans,Eagle Warrior,,,,,,,,,,,,,No
Armenians,Eagle Warrior,,,,,,,,,,,,,No
Georgians,Eagle Warrior,,,,,,,,,,,,,No
Shu,Eagle Warrior,,,,,,,,,,,,,No
Wu,Eagle Warrior,,,,,,,,,,,,,No
Wei,Eagle Warrior,,,,,,,,,,,,,No
Jurchens,Eagle Warrior,,,,,,,,,,,,,No
Khitans,Eagle Warrior,,,,,,,,,,,,,No
