Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Battle Elephant,,,,,,,,,,,,,No
Franks,Battle Elephant,,,,,,,,,,,,,No
Goths,Battle Elephant,,,,,,,,,,,,,No
Teutons,Battle Elephant,,,,,,,,,,,,,No
Japanese,Battle Elephant,,,,,,,,,,,,,No
Chinese,Battle Elephant,,,,,,,,,,,,,No
Byzantines,Battle Elephant,,,,,,,,,,,,,No
Persians,Battle Elephant,,,,,,,,,,,,,No
Saracens,Battle Elephant,,,,,,,,,,,,,No
Turks,Battle Elephant,,,,,,,,,,,,,No
Vikings,Battle Elephant,,,,,,,,,,,,,No
Mongols,Battle Elephant,,,,,,,,,,,,,No
Celts,Battle Elephant,,,,,,,,,,,,,No
Spanish,Battle Elephant,,,,,,,,,,,,,No
Aztecs,Battle Elephant,,,,,,,,,,,,,No
Mayans,Battle Elephant,,,,,,,,,,,,,No
Huns,Battle Elephant,,,,,,,,,,,,,No
Koreans,Battle Elephant,,,,,,,,,,,,,No
Italians,Battle Elephant,,,,,,,,,,,,,No
Hindustanis,Elite Battle Elephant,320,18,0.5,4,7,0.99,100,0,70,24,2490,-,Yes
Incas,Battle Elephant,,,,,,,,,,,,,No
Magyars,Battle Elephant,,,,,,,,,,,,,No
Slavs,Battle Elephant,,,,,,,,,,,,,No
Portuguese,Battle Elephant,,,,,,,,,,,,,No
Ethiopians,Battle Elephant,,,,,,,,,,,,,No
Malians,Battle Elephant,,,,,,,,,,,,,No
Berbers,Battle Elephant,,,,,,,,,,,,,No
Khmer,Elite Battle Elephant,320,18,0.5,4,7,1.09,100,0,70,24,2490,Battle Ele 10% faster,Yes
Malay,Elite Battle Elephant,300,18,0.5,2,4,0.99,65,0,46,24,1290,"Battle Ele 25% cheaper, Battle Ele 35% cheaper",Yes
Burmese,Elite Battle Elephant,320,18,0.5,5,8,0.99,100,0,70,24,2490,Battle Elephant armor,Yes
Vietnamese,Elite Battle Elephant,320,16,0.5,4,7,0.99,100,0,70,24,1990,-,Yes
Bulgarians,Battle Elephant,,,,,,,,,,,,,No
Tatars,Battle Elephant,,,,,,,,,,,,,No
Cumans,Battle Elephant,,,,,,,,,,,,,No
Lithuanians,Battle Elephant,,,,,,,,,,,,,No
Burgundians,Battle Elephant,,,,,,,,,,,,,No
Sicilians,Battle Elephant,,,,,,,,,,,,,No
Poles,Battle Elephant,,,,,,,,,,,,,No
Bohemians,Battle Elephant,,,,,,,,,,,,,No
Dravidians,Battle Elephant,250,16,0.5,3,4,0.99,100,0,70,24,1690,-,Yes
Bengalis,Elite Battle Elephant,320,18,0.5,4,7,0.99,100,0,70,24,2490,"Elephant resistance, Cavalry vs Skirm",Yes
Gurjaras,Battle Elephant,,,,,,,,,,,,,No
Romans,Battle Elephant,,,,,,,,,,,,,No
Armenians,Battle Elephant,,,,,,,,,,,,,No
Georgians,Battle Elephant,,,,,,,,,,,,,No
Shu,Battle Elephant,,,,,,,,,,,,,No
Wu,Battle Elephant,,,,,,,,,,,,,No
Wei,Battle Elephant,,,,,,,,,,,,,No
Jurchens,Battle Elephant,,,,,,,,,,,,,No
Khitans,Battle Elephant,,,,,,,,,,,,,No
