Civilization,Unit,HP,Attack,Range,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Steppe Lancer,,,,,,,,,,,,,,No
Franks,Steppe Lancer,,,,,,,,,,,,,,No
Goths,Steppe Lancer,,,,,,,,,,,,,,No
Teutons,Steppe Lancer,,,,,,,,,,,,,,No
Japanese,Steppe Lancer,,,,,,,,,,,,,,No
Chinese,Steppe Lancer,,,,,,,,,,,,,,No
Byzantines,Steppe Lancer,,,,,,,,,,,,,,No
Persians,Steppe Lancer,,,,,,,,,,,,,,No
Saracens,Steppe Lancer,,,,,,,,,,,,,,No
Turks,Steppe Lancer,,,,,,,,,,,,,,No
Vikings,Steppe Lancer,,,,,,,,,,,,,,No
Mongols,Elite Steppe Lancer,147,15,1.0,0.5,2,4,1.6,70,0,40,20,1940,"Light Cavalry +20% HP + BL, Light Cavalry +30% HP + BL, Light Cavalry +20% HP, Light Cavalry +30% HP",Yes
Celts,Steppe Lancer,,,,,,,,,,,,,,No
Spanish,Steppe Lancer,,,,,,,,,,,,,,No
Aztecs,Steppe Lancer,,,,,,,,,,,,,,No
Mayans,Steppe Lancer,,,,,,,,,,,,,,No
Huns,Steppe Lancer,,,,,,,,,,,,,,No
Koreans,Steppe Lancer,,,,,,,,,,,,,,No
Italians,Steppe Lancer,,,,,,,,,,,,,,No
Hindustanis,Elite Steppe Lancer,100,15,1.0,0.5,3,6,1.6,70,0,40,20,2490,-,Yes
Incas,Steppe Lancer,,,,,,,,,,,,,,No
Magyars,Steppe Lancer,,,,,,,,,,,,,,No
Slavs,Steppe Lancer,,,,,,,,,,,,,,No
Portuguese,Steppe Lancer,,,,,,,,,,,,,,No
Ethiopians,Steppe Lancer,,,,,,,,,,,,,,No
Malians,Steppe Lancer,,,,,,,,,,,,,,No
Berbers,Steppe Lancer,,,,,,,,,,,,,,No
Khmer,Steppe Lancer,,,,,,,,,,,,,,No
Malay,Steppe Lancer,,,,,,,,,,,,,,No
Burmese,Steppe Lancer,,,,,,,,,,,,,,No
Vietnamese,Steppe Lancer,,,,,,,,,,,,,,No
Bulgarians,Steppe Lancer,,,,,,,,,,,,,,No
Tatars,Elite Steppe Lancer,100,15,1.0,0.5,3,6,1.6,70,0,40,20,2490,-,Yes
Cumans,Elite Steppe Lancer,100,15,1.0,0.5,3,6,1.68,70,0,40,20,2340,"Cavalry +5% speed Age2, Cavalry +5% speed Age3, Cavalry +5% speed Age4",Yes
Lithuanians,Steppe Lancer,,,,,,,,,,,,,,No
Burgundians,Steppe Lancer,,,,,,,,,,,,,,No
Sicilians,Steppe Lancer,,,,,,,,,,,,,,No
Poles,Steppe Lancer,,,,,,,,,,,,,,No
Bohemians,Steppe Lancer,,,,,,,,,,,,,,No
Dravidians,Steppe Lancer,,,,,,,,,,,,,,No
Bengalis,Steppe Lancer,,,,,,,,,,,,,,No
Gurjaras,Steppe Lancer,,,,,,,,,,,,,,No
Romans,Steppe Lancer,,,,,,,,,,,,,,No
Armenians,Steppe Lancer,,,,,,,,,,,,,,No
Georgians,Steppe Lancer,,,,,,,,,,,,,,No
Shu,Steppe Lancer,,,,,,,,,,,,,,No
Wu,Steppe Lancer,,,,,,,,,,,,,,No
Wei,Steppe Lancer,,,,,,,,,,,,,,No
Jurchens,Elite Steppe Lancer,100,15,1.0,0.625,3,6,1.6,70,0,40,20,2490,"cav & Fire Lancer +25% attack, No friendly damage",Yes
Khitans,Elite Steppe Lancer,80,17,1.0,0.5,3,6,1.6,70,0,40,20,1740,"Double Forging, Double Iron Casting, Double Blast Furnace",Yes
