Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Camel Rider,,,,,,,,,,,,,No
Franks,Camel Rider,,,,,,,,,,,,,No
Goths,Camel Rider,,,,,,,,,,,,,No
Teutons,Camel Rider,,,,,,,,,,,,,No
Japanese,Camel Rider,,,,,,,,,,,,,No
Chinese,Camel Rider,,,,,,,,,,,,,No
Byzantines,Imperial Camel Rider,140,10,0.5,3,4,1.6,55,0,60,20,1740,-,Yes
Persians,Imperial Camel Rider,160,12,0.5,3,4,1.6,55,0,60,20,2490,-,Yes
Saracens,Imperial Camel Rider,195,12,0.5,3,4,1.6,55,0,60,20,2490,Camels +25% HP,Yes
Turks,Imperial Camel Rider,160,12,0.5,3,4,1.6,55,0,60,20,2490,-,Yes
Vikings,Camel Rider,,,,,,,,,,,,,No
Mongols,Imperial Camel Rider,160,12,0.5,2,2,1.6,55,0,60,20,1940,-,Yes
Celts,Camel Rider,,,,,,,,,,,,,No
Spanish,Camel Rider,,,,,,,,,,,,,No
Aztecs,Camel Rider,,,,,,,,,,,,,No
Mayans,Camel Rider,,,,,,,,,,,,,No
Huns,Camel Rider,,,,,,,,,,,,,No
Koreans,Camel Rider,,,,,,,,,,,,,No
Italians,Camel Rider,,,,,,,,,,,,,No
Hindustanis,Imperial Camel Rider,160,12,0.6,3,4,1.6,55,0,60,20,2490,Camel Rider attack speed,Yes
Incas,Camel Rider,,,,,,,,,,,,,No
Magyars,Camel Rider,,,,,,,,,,,,,No
Slavs,Camel Rider,,,,,,,,,,,,,No
Portuguese,Camel Rider,,,,,,,,,,,,,No
Ethiopians,Imperial Camel Rider,140,12,0.5,2,2,1.6,55,0,60,20,1690,-,Yes
Malians,Imperial Camel Rider,160,10,0.5,3,4,1.6,55,0,60,20,1990,-,Yes
Berbers,Imperial Camel Rider,160,12,0.5,3,4,1.6,44,0,48,20,2490,"Stable units -15% che, Stable units -20% che",Yes
Khmer,Camel Rider,,,,,,,,,,,,,No
Malay,Camel Rider,,,,,,,,,,,,,No
Burmese,Camel Rider,,,,,,,,,,,,,No
Vietnamese,Camel Rider,,,,,,,,,,,,,No
Bulgarians,Camel Rider,,,,,,,,,,,,,No
Tatars,Imperial Camel Rider,160,12,0.5,3,4,1.6,55,0,60,20,2490,-,Yes
Cumans,Imperial Camel Rider,160,12,0.5,3,4,1.68,55,0,60,20,2340,"Cavalry +5% speed Age2, Cavalry +5% speed Age3, Cavalry +5% speed Age4",Yes
Lithuanians,Camel Rider,,,,,,,,,,,,,No
Burgundians,Camel Rider,,,,,,,,,,,,,No
Sicilians,Camel Rider,,,,,,,,,,,,,No
Poles,Camel Rider,,,,,,,,,,,,,No
Bohemians,Camel Rider,,,,,,,,,,,,,No
Dravidians,Camel Rider,,,,,,,,,,,,,No
Bengalis,Camel Rider,,,,,,,,,,,,,No
Gurjaras,Imperial Camel Rider,160,10,0.5,3,4,1.6,55,0,60,20,1990,"+20% Cav bonus damage, +30% Cav bonus damage, +40% Cav bonus damage",Yes
Romans,Camel Rider,,,,,,,,,,,,,No
Armenians,Camel Rider,,,,,,,,,,,,,No
Georgians,Camel Rider,,,,,,,,,,,,,No
Shu,Camel Rider,,,,,,,,,,,,,No
Wu,Camel Rider,,,,,,,,,,,,,No
Wei,Camel Rider,,,,,,,,,,,,,No
Jurchens,Camel Rider,,,,,,,,,,,,,No
Khitans,Imperial Camel Rider,140,14,0.5,3,4,1.6,55,0,60,20,1740,"Double Forging, Double Iron Casting, Double Blast Furnace",Yes
