Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Light Cavalry,60,11,0.5,3,6,1.65,80,0,0,30,2240,-,Yes
Franks,Light Cavalry,72,11,0.5,3,6,1.65,80,0,0,30,2240,Cavalry +20% HP,Yes
Goths,Hussar,95,11,0.526,2,4,1.65,80,0,0,30,1940,-,Yes
Teutons,Light Cavalry,80,11,0.5,5,6,1.5,80,0,0,30,2340,"Inf Cav +1 armor Age3, Inf Cav +1 armor Age4",Yes
Japanese,Light Cavalry,80,11,0.5,2,4,1.65,80,0,0,30,1940,-,Yes
Chinese,Light Cavalry,80,11,0.5,3,6,1.65,80,0,0,30,2490,-,Yes
Byzantines,Hussar,75,9,0.526,3,6,1.65,80,0,0,30,1740,-,Yes
Persians,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Saracens,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Turks,Hussar,95,11,0.526,3,7,1.65,80,0,0,30,2490,Light cavalry +1P armor,Yes
Vikings,Light Cavalry,60,11,0.5,2,4,1.5,80,0,0,30,1540,-,Yes
Mongols,Hussar,139,11,0.526,2,4,1.65,80,0,0,30,1940,"Light Cavalry +20% HP + BL, Light Cavalry +30% HP + BL, Light Cavalry +20% HP, Light Cavalry +30% HP",Yes
Celts,Hussar,75,11,0.526,2,4,1.65,80,0,0,30,1690,-,Yes
Spanish,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Aztecs,Light Cavalry,60,11,0.5,0,2,1.5,80,0,0,30,990,-,Yes
Mayans,Light Cavalry,60,11,0.5,0,2,1.5,80,0,0,30,990,-,Yes
Huns,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Koreans,Hussar,75,9,0.526,2,4,1.65,80,0,0,30,1190,-,Yes
Italians,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Hindustanis,Winged Hussar,100,13,0.526,4,6,1.65,80,0,0,30,2490,-,Yes
Incas,Light Cavalry,60,11,0.5,0,2,1.5,60,0,0,30,990,"Military cost -10%, Military cost -15%, Military cost -20%, Military cost -25%",Yes
Magyars,Hussar,95,11,0.526,3,6,1.65,68,0,0,30,2490,C-Bonus Lcav Cheaper,Yes
Slavs,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Portuguese,Light Cavalry,80,11,0.5,3,6,1.65,80,0,0,30,2490,All units -20% gold,Yes
Ethiopians,Hussar,75,11,0.526,2,4,1.65,80,0,0,30,1690,-,Yes
Malians,Light Cavalry,80,9,0.5,3,6,1.65,80,0,0,30,1990,-,Yes
Berbers,Hussar,95,11,0.526,3,6,1.65,64,0,0,30,2490,"Stable units -15% che, Stable units -20% che",Yes
Khmer,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Malay,Light Cavalry,60,11,0.5,1,3,1.65,80,0,0,30,1290,-,Yes
Burmese,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Vietnamese,Light Cavalry,80,9,0.5,3,6,1.65,80,0,0,30,1990,-,Yes
Bulgarians,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Tatars,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Cumans,Hussar,95,11,0.526,3,6,1.74,80,0,0,30,2340,"Cavalry +5% speed Age2, Cavalry +5% speed Age3, Cavalry +5% speed Age4",Yes
Lithuanians,Winged Hussar,100,11,0.526,4,6,1.65,80,0,0,30,1990,-,Yes
Burgundians,Hussar,75,11,0.526,3,6,1.65,80,0,0,30,2240,-,Yes
Sicilians,Light Cavalry,80,11,0.5,3,6,1.65,80,0,0,30,2490,Bonus damage resistance,Yes
Poles,Winged Hussar,100,13,0.526,3,4,1.65,80,0,0,30,1940,-,Yes
Bohemians,Light Cavalry,60,11,0.5,2,4,1.65,80,0,0,30,1690,-,Yes
Dravidians,Light Cavalry,60,11,0.5,2,4,1.65,80,0,0,30,1690,-,Yes
Bengalis,Light Cavalry,80,11,0.5,3,6,1.65,80,0,0,30,2490,Cavalry vs Skirm,Yes
Gurjaras,Hussar,95,9,0.526,3,6,1.65,80,0,0,30,1990,"+20% Cav bonus damage, +30% Cav bonus damage, +40% Cav bonus damage",Yes
Romans,Light Cavalry,80,11,0.5,3,6,1.65,80,0,0,30,2490,-,Yes
Armenians,Light Cavalry,80,11,0.5,2,4,1.65,80,0,0,30,1940,-,Yes
Georgians,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,"Cavalry regeneration age2, Cavalry regeneration age3, Cavalry regeneration age4",Yes
Shu,Light Cavalry,60,8,0.5,3,6,1.65,80,0,0,30,1400,-,Yes
Wu,Hussar,95,11,0.526,3,6,1.65,80,0,0,30,2490,-,Yes
Wei,Hussar,95,11,0.526,2,4,1.65,80,0,0,30,1940,-,Yes
Jurchens,Hussar,95,11,0.658,3,6,1.65,80,0,0,30,2490,"cav & Fire Lancer +25% attack, No friendly damage",Yes
Khitans,Hussar,75,13,0.526,3,6,1.65,80,0,0,24,1740,"Double Forging, Double Iron Casting, Double Blast Furnace, Skirms Spear Scout train 25% faster",Yes
