Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Cavalier,120,16,0.556,5,6,1.49,60,0,75,30,2240,-,Yes
Franks,Paladin,192,18,0.526,5,7,1.49,60,0,75,30,2240,Cavalry +20% HP,Yes
Goths,Cavalier,140,16,0.556,4,4,1.49,60,0,75,30,1940,-,Yes
Teutons,Paladin,180,18,0.526,7,7,1.35,60,0,75,30,2340,"Inf Cav +1 armor Age3, Inf Cav +1 armor Age4",Yes
Japanese,Cavalier,140,16,0.556,4,4,1.49,60,0,75,30,1940,-,Yes
Chinese,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Byzantines,Paladin,160,16,0.526,5,7,1.49,60,0,75,30,1740,-,Yes
Persians,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Saracens,Knight,120,14,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Turks,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Vikings,Cavalier,120,16,0.556,4,4,1.35,60,0,75,30,1540,-,Yes
Mongols,Cavalier,140,16,0.556,4,4,1.49,60,0,75,30,1940,-,Yes
Celts,Paladin,160,18,0.526,4,5,1.49,60,0,75,30,1690,-,Yes
Spanish,Paladin,180,18,0.526,5,7,1.49,60,0,75,30,2490,-,Yes
Aztecs,Knight,,,,,,,,,,,,,No
Mayans,Knight,,,,,,,,,,,,,No
Huns,Paladin,180,18,0.526,5,7,1.49,60,0,75,30,2490,-,Yes
Koreans,Cavalier,120,14,0.556,4,4,1.49,60,0,75,30,1190,-,Yes
Italians,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Hindustanis,Paladin,180,18,0.526,5,7,1.49,60,0,75,30,2490,-,Yes
Incas,Knight,,,,,,,,,,,,,No
Magyars,Paladin,180,18,0.526,5,7,1.49,60,0,75,30,2490,-,Yes
Slavs,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Portuguese,Cavalier,140,16,0.556,5,6,1.49,60,0,60,30,2490,All units -20% gold,Yes
Ethiopians,Cavalier,120,16,0.556,4,4,1.49,60,0,75,30,1690,-,Yes
Malians,Cavalier,140,14,0.556,5,6,1.49,60,0,75,30,1990,-,Yes
Berbers,Cavalier,140,16,0.556,5,6,1.49,48,0,60,30,2490,"Stable units -15% che, Stable units -20% che",Yes
Khmer,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Malay,Cavalier,120,16,0.556,3,3,1.49,60,0,75,30,1290,-,Yes
Burmese,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Vietnamese,Cavalier,140,14,0.556,5,6,1.49,60,0,75,30,1990,-,Yes
Bulgarians,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Tatars,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Cumans,Paladin,180,18,0.526,5,7,1.56,60,0,75,30,2340,"Cavalry +5% speed Age2, Cavalry +5% speed Age3, Cavalry +5% speed Age4",Yes
Lithuanians,Paladin,180,20,0.526,5,7,1.49,60,0,75,30,1990,"Relic +1 cav attack 1, Relic +1 cav attack 2, Relic +1 cav attack 3, Relic +1 cav attack 4",Yes
Burgundians,Paladin,160,18,0.526,5,7,1.49,60,0,75,30,2240,-,Yes
Sicilians,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,Bonus damage resistance,Yes
Poles,Cavalier,140,16,0.556,4,4,1.49,60,0,75,30,1940,-,Yes
Bohemians,Cavalier,120,16,0.556,4,4,1.49,60,0,75,30,1690,-,Yes
Dravidians,Knight,,,,,,,,,,,,,No
Bengalis,Knight,,,,,,,,,,,,,No
Gurjaras,Knight,,,,,,,,,,,,,No
Romans,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,-,Yes
Armenians,Cavalier,140,16,0.556,4,4,1.49,60,0,75,30,1940,-,Yes
Georgians,Cavalier,140,16,0.556,5,6,1.49,60,0,75,30,2490,"Cavalry regeneration age2, Cavalry regeneration age3, Cavalry regeneration age4",Yes
Shu,Heavy Hei-Kuang Cavalry,90,13,0.556,7,7,1.49,65,0,65,28,1400,-,Yes
Wu,Heavy Hei-Kuang Cavalry,110,18,0.556,7,7,1.49,65,0,65,28,2490,Jian & Hei Kuang attack,Yes
Wei,Heavy Hei-Kuang Cavalry,164,16,0.556,6,5,1.49,65,0,65,28,1940,"Heavy Cav +15% HP + BL, Heavy Cav +30% HP + BL, Heavy Cav +15% HP, Heavy Cav +30% HP",Yes
Jurchens,Knight,,,,,,,,,,,,,No
Khitans,Knight,,,,,,,,,,,,,No
