Civilization,Unit,HP,Attack,Attack_Speed,Melee_Armor,Pierce_Armor,Movement_Speed,Cost_Food,Cost_Wood,Cost_Gold,Creation_Time,Upgrade_Cost,Civ_Bonuses,Has_Unit
Britons,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Franks,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Goths,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Teutons,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Japanese,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Chinese,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Byzantines,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Persians,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Saracens,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Turks,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Vikings,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Mongols,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Celts,Siege Ram,270,4,0.25,-1,195,0.6,0,160,75,36,0,Siege fire rate,Yes
Spanish,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Aztecs,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Mayans,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Huns,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Koreans,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Italians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Hindustanis,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Incas,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Magyars,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Slavs,Siege Ram,270,4,0.2,-1,195,0.6,0,136,64,36,0,Siege Units Cheaper,Yes
Portuguese,Capped Ram,200,3,0.2,-2,190,0.6,0,160,60,36,0,All units -20% gold,Yes
Ethiopians,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Malians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Berbers,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Khmer,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Malay,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Burmese,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Vietnamese,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Bulgarians,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Tatars,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Cumans,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Lithuanians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Burgundians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Sicilians,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Poles,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Bohemians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Dravidians,Siege Elephant,55,9,0.5,1,0,1.1,65,0,20,9,0,Siege wood discount,Yes
Bengalis,Siege Elephant,55,9,0.5,1,0,1.1,65,0,20,9,0,-,Yes
Gurjaras,Siege Elephant,55,9,0.5,1,0,1.1,65,0,20,9,0,-,Yes
Romans,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Armenians,Capped Ram,200,3,0.2,-2,190,0.6,0,160,75,36,0,-,Yes
Georgians,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Shu,Siege Ram,270,4,0.2,-1,195,0.69,0,160,75,36,0,"Siege +10% movement, Siege +15% movement",Yes
Wu,Battering Ram,175,2,0.2,-3,180,0.6,0,160,75,36,0,-,Yes
Wei,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
Jurchens,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,No friendly damage,Yes
Khitans,Siege Ram,270,4,0.2,-1,195,0.6,0,160,75,36,0,-,Yes
