section,group,row,label,year_start,year_end,continues_left,continues_right,uncertain,is_layout,color,note,link
General,,8,4000 BC - 7 million,-3412,-3000,True,False,False,False,#DCE6F2,,
General,,8,14 million,-3000,-2000,False,False,False,False,#DCE6F2,,
General,,8,27 million,-2000,-1000,False,False,False,False,#DCE6F2,,
General,,8,50 million,-1000,-500,False,False,False,False,#DCE6F2,,
General,,8,100 million,-500,0,False,False,False,False,#DCE6F2,,
General,,8,200 million,0,1000,False,False,False,False,#DCE6F2,,
General,,8,400 million,1000,1500,False,False,False,False,#DCE6F2,,
General,,8,458 million,1500,1600,False,False,False,False,#DCE6F2,,
General,,8,580 million,1600,1700,False,False,False,False,#DCE6F2,,
General,,8,682 million,1700,1750,False,False,False,False,#DCE6F2,,
General,,8,791 million,1750,1800,False,False,False,False,#DCE6F2,,
General,,8,1 billion,1800,1850,False,False,False,False,#DCE6F2,,
General,,8,1.262 billion,1850,1900,False,False,False,False,#DCE6F2,,
General,,8,1.65 billion,1900,1950,False,False,False,False,#DCE6F2,,
General,,8,2.519 billion,1950,1998,False,False,False,False,#DCE6F2,,
General,,8,6.114 billion,1998,2022,False,False,False,False,#DCE6F2,,
General,,8,~ 8.1 billion (2024),2022,2024,False,False,False,False,#DCE6F2,,
Egypt,Egyptian,11,Egyptian Chronology,-3150,-3122,False,False,False,False,#EEECE1,"Egyptian Chronology The majority of Egyptologists agree on the outline and many details of the chronology of Ancient Egypt. This scholarly consensus is the so-called Conventional Egyptian chronology, which places the beginning of the Old Kingdom in the 27th century BC, the beginning of the Middle Kingdom in the 21st century BC and the beginning of the New Kingdom in the mid-16th century BC. Despite this consensus, disagreements remain within the scholarly community, resulting in variant chronologies diverging by about 300 years for the Early Dynastic Period, up to 30 years in the New Kingdom, and a few years in the Late Period. In addition, there are a number of ""alternative chronologies"" outside of scholarly consensus, such as: the ""New Chronology"" proposed in the 1990s, which lowers New Kingdom dates by as much as 350 years, or the ""Glasgow Chronology"" (proposed 1978–1982), which lowers New Kingdom dates by as much as 500 years.",
